"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Manuel Fuster","ESP","FW,MF","La Liga","Las Palmas","26","28","8","1,003",11.1,"2","1","2","0","0","2","0","0.7","0.7","1.8","23","71"
"Javi Galán","ESP","DF","La Liga","Atlético Madrid","29","25","21","1,784",19.8,"0","3","0","0","0","8","0","0.2","0.2","3.9","52","54"
"Iñigo Ruiz de Galarreta","ESP","MF","La Liga","Athletic Club","30","26","18","1,477",16.4,"0","4","0","0","0","5","0","0.5","0.5","2.9","27","137"
"Conor Gallagher","ENG","MF","La Liga","Atlético Madrid","24","32","19","1,633",18.1,"3","3","3","0","0","2","0","2.8","2.8","1.2","24","64"
"Facundo Garcés","MAS","DF","La Liga","Alavés","24","10","7","678",7.5,"0","0","0","0","0","2","0","0.1","0.1","0.8","3","12"
"Álvaro García","ESP","FW,MF","La Liga","Rayo Vallecano","31","36","28","2,559",28.4,"4","5","4","0","0","4","0","7.6","7.6","5.0","68","71"
"Eric García","ESP","DF,MF","La Liga","Barcelona","23","29","14","1,566",17.4,"2","3","2","0","0","4","0","2.3","2.3","0.8","18","109"
"Fran Garcia","ESP","DF","La Liga","Real Madrid","24","31","24","2,171",24.1,"0","2","0","0","0","0","0","0.9","0.9","1.8","78","119"
"Joan García","ESP","GK","La Liga","Espanyol","23","38","38","3,420",38,"0","0","0","0","0","2","0","0.1","0.1","0.0","0","1"
"Rubén García","ESP","FW,MF","La Liga","Osasuna","31","36","30","2,413",26.8,"5","5","5","0","0","2","0","3.2","3.2","3.6","37","112"
"Yarek Gasiorowski","ESP","DF","La Liga","Valencia","19","15","9","947",10.5,"0","0","0","0","0","1","0","1.1","1.1","0.1","9","38"
"Gavi","ESP","MF,FW","La Liga","Barcelona","19","26","14","1,085",12.1,"1","1","1","0","0","4","0","0.9","0.9","1.6","13","77"
"Paulo Gazzaniga","ARG","GK","La Liga","Girona","32","36","36","3,195",35.5,"0","0","0","0","0","4","0","0.0","0.0","0.0","0","0"
"Bryan Gil","ESP","FW,MF","La Liga","Girona","23","25","21","1,721",19.1,"3","3","3","0","0","4","0","2.3","2.3","2.9","76","74"
"Dani Gómez","ESP","FW","La Liga","Valencia","26","14","5","532",5.9,"2","0","2","0","0","0","0","2.7","2.7","0.0","3","6"
"Moi Gómez","ESP","MF,FW","La Liga","Osasuna","30","26","6","796",8.8,"0","0","0","0","0","1","0","0.5","0.5","0.8","13","49"
"Sergi Gómez","ESP","DF","La Liga","Espanyol","32","12","6","664",7.4,"0","0","0","0","0","1","0","0.3","0.3","0.0","0","8"
"Sergio Gómez","ESP","MF,DF","La Liga","Real Sociedad","23","37","31","2,738",30.4,"2","5","2","0","0","4","0","1.9","1.9","8.9","43","93"
"Unai Gómez","ESP","MF,FW","La Liga","Athletic Club","21","32","14","1,284",14.3,"1","3","1","0","0","1","0","1.9","1.9","0.8","19","23"
"Peter González","DOM","MF,FW","La Liga","Getafe","22","17","2","477",5.3,"0","0","0","0","0","1","0","1.3","1.3","0.1","8","6"
"Urko González","ESP","MF","La Liga","Espanyol","23","17","16","1,374",15.3,"0","2","0","0","0","2","0","0.5","0.5","0.7","18","62"
"Andoni Gorosabel","ESP","DF","La Liga","Athletic Club","27","20","17","1,485",16.5,"0","2","0","0","0","5","0","0.3","0.3","1.8","17","51"
"José Gragera","ESP","MF","La Liga","Espanyol","23","10","7","569",6.3,"0","0","0","0","0","0","0","0.0","0.0","0.0","1","14"
"Dominik Greif","SVK","GK","La Liga","Mallorca","27","31","31","2,790",31,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Antoine Griezmann","FRA","FW,MF","La Liga","Atlético Madrid","33","38","29","2,469",27.4,"8","7","7","1","2","2","0","7.4","5.9","7.1","46","143"
"Florian Grillitsch","AUT","MF","La Liga","Valladolid","28","13","7","623",6.9,"0","0","0","0","0","1","0","0.1","0.1","0.7","9","38"
"Vicente Guaita","ESP","GK","La Liga","Celta Vigo","37","34","34","3,060",34,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","1"
"Nemanja Gudelj","SRB","MF,DF","La Liga","Sevilla","32","31","27","2,493",27.7,"1","1","0","1","1","6","0","1.6","0.8","0.6","14","64"
"Javier Guerra","ESP","MF","La Liga","Valencia","21","36","31","2,581",28.7,"3","3","3","0","0","5","0","2.2","2.2","3.2","50","137"
"Ander Guevara","ESP","MF","La Liga","Alavés","27","33","20","1,947",21.6,"0","1","0","0","0","3","0","0.9","0.9","0.6","14","112"
"Pape Gueye","SEN","MF","La Liga","Villarreal","25","34","26","2,224",24.7,"4","0","4","0","0","6","2","3.4","3.4","1.1","36","156"
"Arda Güler","TUR","MF,FW","La Liga","Real Madrid","19","28","14","1,250",13.9,"3","4","3","0","0","1","0","3.3","3.3","4.5","34","93"
"Gerard Gumbau","ESP","MF","La Liga","Rayo Vallecano","29","22","7","849",9.4,"0","1","0","0","0","4","0","1.1","1.1","1.3","2","41"
"Jon Guridi","ESP","MF,FW","La Liga","Alavés","29","33","27","2,080",23.1,"3","1","2","1","1","6","0","4.2","3.4","1.2","27","79"
"Gorka Guruzeta","ESP","FW","La Liga","Athletic Club","27","36","21","1,840",20.4,"7","2","7","0","0","2","0","6.7","6.6","1.5","8","31"
"Miguel Gutiérrez","ESP","DF,MF","La Liga","Girona","23","29","29","2,458",27.3,"1","5","1","0","0","4","0","1.6","1.6","4.1","63","103"
"Munir El Haddadi","MAR","FW,MF","La Liga","Leganés","28","25","10","862",9.6,"4","0","4","0","0","1","1","1.6","1.6","0.8","11","29"
"Javi Hernández","ESP","DF","La Liga","Leganés","26","31","27","2,389",26.5,"2","1","2","0","0","6","0","0.8","0.8","1.5","40","80"
"Aridane Hernández","ESP","DF","La Liga","Rayo Vallecano","35","14","11","1,025",11.4,"0","0","0","0","0","1","0","0.9","0.9","0.0","2","38"
"Jorge Herrando","ESP","DF","La Liga","Osasuna","23","18","15","1,366",15.2,"1","0","1","0","0","3","0","1.2","1.2","0.0","7","38"
"Sergio Herrera","ESP","GK","La Liga","Osasuna","31","37","37","3,330",37,"0","0","0","0","0","5","0","0.0","0.0","0.0","0","2"
"Yangel Herrera","VEN","MF","La Liga","Girona","26","29","27","2,257",25.1,"4","3","4","0","0","10","1","3.6","3.6","1.5","31","110"
"Juan Herzog","ESP","DF","La Liga","Las Palmas","21","19","15","1,315",14.6,"0","0","0","0","0","1","0","0.9","0.9","0.0","0","27"
"Omar El Hilali","MAR","DF","La Liga","Espanyol","20","36","36","3,153",35,"0","2","0","0","0","11","0","0.0","0.0","0.8","35","84"
"Dinko Horkaš","CRO","GK","La Liga","Las Palmas","25","13","11","1,085",12.1,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","2"
"Pablo Ibáñez","ESP","MF","La Liga","Osasuna","25","28","13","1,294",14.4,"1","1","1","0","0","4","0","1.6","1.6","1.6","21","51"
"Iglesias","ESP","DF","La Liga","Getafe","26","37","32","2,888",32.1,"0","1","0","0","0","4","0","1.6","1.6","2.2","32","84"
"Borja Iglesias","ESP","FW","La Liga","Celta Vigo","31","37","24","1,952",21.7,"11","3","11","0","0","2","0","9.3","9.3","3.2","22","28"
"Isco","ESP","MF","La Liga","Betis","32","22","17","1,547",17.2,"9","8","4","5","6","5","0","8.6","3.9","4.4","38","152"
"Karl Jakob Hein","EST","GK","La Liga","Valladolid","22","31","31","2,790",31,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Adnan Januzaj","BEL","MF,FW","La Liga","Las Palmas","29","18","5","598",6.6,"2","1","2","0","0","5","0","0.8","0.8","1.1","24","41"
"Mikel Jauregizar","ESP","MF","La Liga","Athletic Club","20","34","25","2,244",24.9,"2","1","2","0","0","4","1","1.1","1.1","1.4","14","118"
"Jofre","ESP","MF,FW","La Liga","Espanyol","23","37","26","2,165",24.1,"3","3","3","0","0","5","0","2.5","2.5","2.5","65","48"
"Frenkie de Jong","NED","MF","La Liga","Barcelona","27","26","9","1,143",12.7,"2","2","2","0","0","3","0","0.7","0.7","2.0","36","120"
"Joan Jordán","ESP","MF","La Liga","Alavés","30","25","15","1,414",15.7,"5","2","2","3","4","4","0","4.8","1.6","2.3","7","104"
"Juanmi","ESP","FW,MF","La Liga","Getafe","31","13","8","696",7.7,"0","0","0","0","0","2","0","2.9","2.9","0.3","6","8"
"Juanpe","ESP","DF","La Liga","Girona","33","12","8","727",8.1,"0","0","0","0","0","2","0","0.1","0.1","0.2","2","26"
"Luiz Lúcio Reis Júnior","BRA","GK","La Liga","Villarreal","23","17","16","1,458",16.2,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","0"
"Vinicius Júnior","BRA","FW","La Liga","Real Madrid","24","30","24","2,253",25,"11","8","9","2","3","8","1","10.4","8.2","8.0","169","85"
"Stanko Jurić","CRO","MF","La Liga","Valladolid","27","26","19","1,729",19.2,"0","0","0","0","0","7","1","0.8","0.8","0.5","5","57"
"Willy Kambwala","FRA","DF","La Liga","Villarreal","19","19","12","1,117",12.4,"0","0","0","0","0","1","1","0.3","0.3","0.1","2","16"
"Kiké","ESP","FW","La Liga","Alavés","34","35","29","2,542",28.2,"13","0","10","3","3","5","1","9.6","7.2","0.9","25","50"
"Koke","ESP","MF","La Liga","Atlético Madrid","32","32","20","1,926",21.4,"1","1","1","0","0","4","0","1.1","1.1","1.4","22","132"
"Jules Koundé","FRA","DF","La Liga","Barcelona","25","32","29","2,605",28.9,"2","3","2","0","0","4","0","1.8","1.8","3.9","44","165"
"Alex Král","CZE","MF","La Liga","Espanyol","26","37","29","2,714",30.2,"0","1","0","0","0","1","0","1.5","1.5","1.5","49","78"
"Ladislav Krejčí","CZE","DF","La Liga","Girona","25","28","27","2,440",27.1,"2","0","2","0","0","9","0","1.7","1.7","0.3","29","144"
"Takefusa Kubo","JPN","MF,FW","La Liga","Real Sociedad","23","36","27","2,372",26.4,"5","0","5","0","0","5","0","3.6","3.6","4.5","133","110"
"Marash Kumbulla","ALB","DF","La Liga","Espanyol","24","35","34","2,972",33,"3","0","3","0","0","9","0","1.8","1.8","0.0","11","71"
"Yoel Lago","ESP","DF","La Liga","Celta Vigo","20","8","7","583",6.5,"0","1","0","0","0","2","0","0.0","0.0","0.1","1","31"
"Cyle Larin","CAN","FW","La Liga","Mallorca","29","32","21","1,764",19.6,"7","2","6","1","1","4","0","6.9","6.1","1.4","20","20"
"Juanmi Latasa","ESP","FW","La Liga","Valladolid","23","28","14","1,398",15.5,"3","0","3","0","0","6","1","4.2","4.2","0.9","3","17"
"Toni Lato","ESP","DF","La Liga","Mallorca","26","14","7","621",6.9,"0","0","0","0","0","1","1","0.0","0.0","0.4","15","26"
"Robin Le Normand","ESP","DF","La Liga","Atlético Madrid","27","27","24","2,151",23.9,"1","0","1","0","0","8","0","1.5","1.5","0.5","11","55"
"Florian Lejeune","FRA","DF","La Liga","Rayo Vallecano","33","37","37","3,325",36.9,"2","3","2","0","0","8","0","3.6","3.6","1.9","21","143"
"Iñigo Lekue","ESP","DF","La Liga","Athletic Club","31","16","8","773",8.6,"0","0","0","0","0","1","0","0.2","0.2","0.5","13","35"
"Clément Lenglet","FRA","DF","La Liga","Atlético Madrid","29","23","23","1,972",21.9,"2","1","2","0","0","9","0","2.4","2.4","1.1","16","79"
"Robert Lewandowski","POL","FW","La Liga","Barcelona","35","34","32","2,667",29.6,"27","2","24","3","4","1","0","27.1","24.0","2.3","27","48"
"Samuel Lino","BRA","MF,DF","La Liga","Atlético Madrid","24","31","21","1,552",17.2,"3","4","3","0","0","3","0","6.0","6.0","2.9","72","73"
"Diego Llorente","ESP","DF","La Liga","Betis","30","30","29","2,519",28,"2","0","2","0","0","4","0","1.5","1.5","0.3","7","81"
"Marcos Llorente","ESP","DF,MF","La Liga","Atlético Madrid","29","33","28","2,513",27.9,"2","4","2","0","0","0","1","0.8","0.8","4.3","82","111"
"Giovani Lo Celso","ARG","MF,FW","La Liga","Betis","28","25","15","1,457",16.2,"8","3","6","2","3","4","0","4.8","2.4","4.9","26","132"
"Enzo Loiodice","FRA","MF","La Liga","Las Palmas","23","17","7","684",7.6,"0","0","0","0","0","3","0","0.3","0.3","0.2","3","31"
"David López","ESP","DF","La Liga","Girona","34","29","27","2,429",27,"1","1","1","0","0","4","0","0.9","0.9","0.6","17","132"
"Diego López","ESP","MF,FW","La Liga","Valencia","22","38","35","2,737",30.4,"8","5","8","0","0","3","0","6.6","6.6","5.0","76","85"
"Fer López",NA,"FW,MF","La Liga","Celta Vigo","","17","7","671",7.5,"2","0","2","0","0","2","0","2.7","2.7","1.9","27","43"
"Fermin López","ESP","MF,FW","La Liga","Barcelona","21","28","12","1,252",13.9,"6","5","6","0","0","4","1","5.6","5.6","3.9","31","79"
"Javi López","ESP","DF","La Liga","Real Sociedad","22","29","21","1,936",21.5,"0","0","0","0","0","4","0","0.1","0.1","0.4","36","73"
"Unai López","ESP","MF","La Liga","Rayo Vallecano","28","32","23","1,707",19,"3","1","3","0","0","9","1","1.6","1.6","1.0","22","112"
"Pol Lozano","ESP","MF","La Liga","Espanyol","24","30","27","1,943",21.6,"0","1","0","0","0","12","0","0.2","0.2","0.8","18","115"
"José Luis Gayà","ESP","DF","La Liga","Valencia","29","23","22","1,803",20,"0","1","0","0","0","7","0","1.0","1.0","2.6","29","59"
"Dodi Lukebakio","BEL","FW","La Liga","Sevilla","26","38","36","3,092",34.4,"11","2","10","1","1","3","1","10.1","9.3","4.5","131","93"
"Andriy Lunin","UKR","GK","La Liga","Real Madrid","25","7","7","630",7,"0","1","0","0","0","0","0","0.0","0.0","0.9","0","0"
"Darwin Machís","VEN","MF,FW","La Liga","Valladolid","31","18","7","639",7.1,"0","1","0","0","0","0","0","0.9","0.9","0.5","17","19"
"Pablo Maffeo","ESP","DF","La Liga","Mallorca","27","30","28","2,368",26.3,"0","2","0","0","0","7","0","0.3","0.3","4.1","46","74"
"Giorgi Mamardashvili","GEO","GK","La Liga","Valencia","23","34","34","3,060",34,"0","0","0","0","0","2","0","0.0","0.0","0.1","1","0"
"Reinildo Mandava","MOZ","DF","La Liga","Atlético Madrid","30","19","10","941",10.5,"0","0","0","0","0","4","0","0.1","0.1","0.1","14","34"
"Javier Manquillo","ESP","DF","La Liga","Celta Vigo","30","10","7","515",5.7,"0","0","0","0","0","1","0","0.0","0.0","0.0","3","24"
"Marcão","BRA","DF","La Liga","Sevilla","28","12","6","552",6.1,"0","0","0","0","0","6","1","0.0","0.0","0.0","0","19"
"Óscar de Marcos","ESP","DF","La Liga","Athletic Club","35","26","17","1,564",17.4,"0","4","0","0","0","0","0","1.0","1.0","2.6","26","102"
"José María Giménez","URU","DF","La Liga","Atlético Madrid","29","27","20","1,999",22.2,"0","1","0","0","0","5","0","0.4","0.4","0.2","3","64"
"Pablo Marín","ESP","MF","La Liga","Real Sociedad","21","23","14","1,239",13.8,"1","2","1","0","0","3","0","1.4","1.4","1.0","20","45"
"Mika Mármol","ESP","DF","La Liga","Las Palmas","23","30","27","2,399",26.7,"0","1","0","0","0","5","0","0.4","0.4","1.5","33","106"
"Carlos Martín","ESP","FW,MF","La Liga","Alavés","22","26","16","1,333",14.8,"2","2","2","0","0","3","0","2.3","2.3","2.7","13","21"
"Gerard Martín","ESP","DF","La Liga","Barcelona","22","28","11","1,038",11.5,"1","3","1","0","0","2","0","0.5","0.5","1.1","10","40"
"Iván Martín","ESP","MF","La Liga","Girona","25","32","24","2,039",22.7,"1","1","1","0","0","1","0","1.8","1.8","1.9","57","131"
"Jon Martin","ESP","DF","La Liga","Real Sociedad","18","13","6","904",10,"0","1","0","0","0","2","0","0.6","0.6","0.2","4","34"
"Mario Martín","ESP","MF","La Liga","Valladolid","20","30","20","1,748",19.4,"0","1","0","0","0","8","3","1.8","1.8","1.4","18","66"
"Arnau Martinez","ESP","DF,MF","La Liga","Girona","21","32","30","2,624",29.2,"2","2","2","0","0","3","0","1.2","1.2","2.2","41","162"
"Iñigo Martínez","ESP","DF","La Liga","Barcelona","33","28","28","2,490",27.7,"0","4","0","0","0","5","0","0.5","0.5","2.6","70","260"
"Toni Martínez","ESP","FW","La Liga","Alavés","27","28","9","1,012",11.2,"4","0","4","0","0","1","0","3.6","3.6","0.6","13","11"
"Marvin","ESP","DF,FW","La Liga","Las Palmas","24","23","9","1,038",11.5,"0","0","0","0","0","4","0","0.2","0.2","1.1","29","30"
"Omar Mascarell","EQG","MF","La Liga","Mallorca","31","32","21","1,992",22.1,"1","0","1","0","0","5","1","0.5","0.5","0.2","10","75"
"Jaime Mata","ESP","FW,MF","La Liga","Las Palmas","35","30","4","656",7.3,"0","0","0","0","0","9","0","2.6","2.6","0.1","6","10"
"Borja Mayoral","ESP","FW","La Liga","Getafe","27","24","7","1,114",12.4,"5","1","4","1","1","0","0","3.4","2.6","0.9","10","13"
"Kylian Mbappé","FRA","FW","La Liga","Real Madrid","25","34","34","2,907",32.3,"31","3","24","7","9","3","1","25.9","18.6","7.7","150","140"
"Oliver McBurnie","SCO","FW","La Liga","Las Palmas","28","34","20","1,837",20.4,"3","6","3","0","0","3","0","4.8","4.8","2.8","7","27"
"Scott McKenna","SCO","DF","La Liga","Las Palmas","27","29","28","2,466",27.4,"0","0","0","0","0","5","1","1.1","1.1","0.7","11","45"
"Arthur Melo","BRA","MF","La Liga","Girona","27","15","10","941",10.5,"0","0","0","0","0","2","0","0.2","0.2","0.2","24","70"
"Brais Méndez","ESP","MF","La Liga","Real Sociedad","27","27","19","1,531",17,"3","2","3","0","0","4","0","3.5","3.5","2.0","32","91"
"Ferland Mendy","FRA","DF","La Liga","Real Madrid","29","14","12","1,005",11.2,"0","1","0","0","0","1","1","0.0","0.0","0.5","12","36"
"Víctor Meseguer","ESP","MF","La Liga","Valladolid","25","14","2","418",4.6,"0","0","0","0","0","1","0","0.7","0.7","0.0","2","22"
"Miguel","ESP","FW","La Liga","Leganés","24","34","17","1,724",19.2,"1","3","0","1","2","3","0","4.9","3.3","1.4","14","16"
"Éder Militão","BRA","DF","La Liga","Real Madrid","26","12","11","938",10.4,"1","1","1","0","0","2","0","0.6","0.6","0.5","7","46"
"Luis Milla","ESP","MF","La Liga","Getafe","29","33","32","2,875",31.9,"1","4","0","1","1","6","0","1.8","1.0","3.9","32","152"
"Pere Milla","ESP","MF,FW","La Liga","Espanyol","31","20","1","456",5.1,"3","0","3","0","0","3","0","1.5","1.5","0.3","9","13"
"Óscar Mingueza","ESP","MF,DF","La Liga","Celta Vigo","25","34","31","2,729",30.3,"4","6","4","0","0","6","1","1.5","1.5","5.6","69","200"
"Bojan Miovski","MKD","FW","La Liga","Girona","25","17","12","869",9.7,"2","1","2","0","0","0","0","2.7","2.7","0.2","4","4"
"Rafa Mir","ESP","FW,MF","La Liga","Valencia","27","20","5","753",8.4,"1","2","1","0","0","4","0","3.0","3.0","0.7","10","20"
"Luka Modrić","CRO","MF","La Liga","Real Madrid","38","35","17","1,827",20.3,"2","6","2","0","0","7","0","1.6","1.6","7.0","62","208"
"Johan Mojica","COL","DF","La Liga","Mallorca","31","36","30","2,755",30.6,"1","2","1","0","0","5","0","0.9","0.9","4.1","66","130"
"Alberto Moleiro","ESP","FW,MF","La Liga","Las Palmas","20","35","32","2,714",30.2,"6","1","6","0","0","5","0","5.6","5.6","3.3","97","116"
"Nahuel Molina","ARG","DF","La Liga","Atlético Madrid","26","30","17","1,590",17.7,"0","3","0","0","0","1","0","0.8","0.8","1.5","35","61"
"Jon Moncayola","ESP","MF","La Liga","Osasuna","26","32","26","2,099",23.3,"0","0","0","0","0","8","0","1.6","1.6","3.7","25","107"
"Gerard Moreno","ESP","FW","La Liga","Villarreal","32","17","6","721",8,"3","2","0","3","3","0","0","4.2","1.8","3.6","19","53"
"Mateu Morey","ESP","DF","La Liga","Mallorca","24","16","8","741",8.2,"0","0","0","0","0","1","0","0.4","0.4","0.3","17","17"
"Ilaix Moriba","GUI","MF","La Liga","Celta Vigo","21","33","22","2,132",23.7,"1","1","1","0","0","9","1","1.7","1.7","1.5","34","119"
"Manu Morlanes","ESP","MF","La Liga","Mallorca","25","23","15","1,338",14.9,"0","0","0","0","0","7","0","0.6","0.6","0.3","16","88"
"Raúl Moro","ESP","MF,FW","La Liga","Valladolid","21","33","26","2,341",26,"4","5","4","0","0","2","0","4.1","4.1","5.7","112","81"
"Cristhian Mosquera","ESP","DF","La Liga","Valencia","20","37","37","3,319",36.9,"1","0","1","0","0","6","0","0.4","0.4","0.0","35","123"
"Santiago Mouriño","URU","DF","La Liga","Alavés","22","25","20","1,849",20.5,"0","1","0","0","0","7","0","0.9","0.9","0.9","14","46"
"Abdul Mumin","GHA","DF","La Liga","Rayo Vallecano","26","24","24","2,017",22.4,"2","1","2","0","0","6","1","0.6","0.6","0.2","12","40"
"Aihen Muñoz","ESP","DF","La Liga","Real Sociedad","26","21","13","1,098",12.2,"0","0","0","0","0","5","0","0.2","0.2","0.3","26","38"
"Álex Muñoz","ESP","DF","La Liga","Las Palmas","30","21","18","1,415",15.7,"3","0","3","0","0","3","0","0.9","0.9","0.5","15","45"
"Iker Muñoz","ESP","MF","La Liga","Osasuna","21","23","4","610",6.8,"0","1","0","0","0","2","0","0.5","0.5","1.0","6","24"
"Javier Muñoz","ESP","MF,DF","La Liga","Las Palmas","29","35","28","2,588",28.8,"1","3","1","0","0","5","0","1.3","1.3","2.5","36","108"
"Vedat Muriqi","KVX","FW","La Liga","Mallorca","30","29","24","2,058",22.9,"7","2","5","2","3","1","2","9.7","7.3","2.2","23","30"
"Matija Nastasić","SRB","DF","La Liga","Leganés","31","26","24","2,110",23.4,"1","0","1","0","0","3","0","0.1","0.1","0.1","1","59"
"Natan","BRA","DF","La Liga","Betis","23","31","23","2,175",24.2,"1","1","1","0","0","5","1","0.3","0.3","0.6","12","52"
"Pau Navarro","ESP","DF","La Liga","Villarreal","19","17","8","916",10.2,"0","0","0","0","0","1","0","0.0","0.0","0.0","3","40"
"Roberto Navarro","ESP","MF,FW","La Liga","Mallorca","22","23","15","1,278",14.2,"1","0","1","0","0","3","0","2.0","2.0","1.9","45","51"
"Jesús Navas","ESP","FW,MF","La Liga","Sevilla","38","15","3","424",4.7,"1","0","1","0","0","0","0","0.5","0.5","0.5","13","23"
"Yvan Neyou","CMR","MF","La Liga","Leganés","27","30","27","2,312",25.7,"1","1","1","0","0","14","0","0.6","0.6","0.6","24","96"
"Tanguy Nianzou","FRA","DF","La Liga","Sevilla","22","6","6","518",5.8,"0","0","0","0","0","3","1","0.2","0.2","0.0","4","10"
"Saúl Ñíguez","ESP","MF","La Liga","Sevilla","29","24","17","1,553",17.3,"1","6","1","0","0","8","1","2.8","2.8","2.5","13","66"
"Tamás Nikitscher","HUN","MF,DF","La Liga","Valladolid","24","13","9","858",9.5,"0","0","0","0","0","2","0","0.1","0.1","0.0","2","13"
"Randy Nteka","ANG","FW","La Liga","Rayo Vallecano","26","24","16","1,129",12.5,"3","0","3","0","0","6","0","2.6","2.6","0.5","10","8"
"Unai Núñez","ESP","DF","La Liga","Athletic Club","27","10","7","645",7.2,"0","0","0","0","0","4","0","0.2","0.2","0.1","2","26"
"Ørjan Nyland","NOR","GK","La Liga","Sevilla","33","30","30","2,673",29.7,"0","0","0","0","0","2","0","0.0","0.0","0.3","0","1"
"Allan Nyom","CMR","DF,MF","La Liga","Getafe","36","20","10","887",9.9,"1","2","1","0","0","4","0","0.5","0.5","0.3","5","22"
"Jan Oblak","SVN","GK","La Liga","Atlético Madrid","31","36","36","3,240",36,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Olasagasti","ESP","MF","La Liga","Real Sociedad","23","22","7","857",9.5,"1","1","1","0","0","2","0","0.9","0.9","0.8","11","38"
"Brian Oliván","ESP","DF","La Liga","Espanyol","30","17","12","1,017",11.3,"0","1","0","0","0","2","0","0.4","0.4","1.1","21","40"
"Lucas Oliveira Rosa","BRA","DF","La Liga","Valladolid","24","21","21","1,890",21,"0","1","0","0","0","6","0","0.9","0.9","2.0","31","50"
"Dani Olmo","ESP","MF,FW","La Liga","Barcelona","26","25","13","1,212",13.5,"10","3","8","2","2","1","0","6.5","4.9","3.0","33","81"
"Aimar Oroz","ESP","MF","La Liga","Osasuna","22","37","35","2,966",33,"5","4","4","1","1","8","0","4.2","3.5","2.9","74","163"
"Jesús Owono","EQG","GK","La Liga","Alavés","23","6","5","487",5.4,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Mikel Oyarzabal","ESP","FW","La Liga","Real Sociedad","27","35","28","2,250",25,"9","3","5","4","4","4","1","9.9","6.8","2.4","31","28"
"Cenk Özkacar","TUR","DF","La Liga","Valladolid","23","11","8","757",8.4,"0","0","0","0","0","1","0","0.1","0.1","0.0","2","15"
"Jon Pacheco","ESP","DF","La Liga","Real Sociedad","23","14","9","854",9.5,"0","0","0","0","0","3","0","0.1","0.1","0.1","12","27"
"Isaac Palazón Camacho","ESP","MF,FW","La Liga","Rayo Vallecano","29","35","25","2,162",24,"4","4","4","0","0","5","0","4.7","4.7","4.4","30","117"
"Aitor Paredes","ESP","DF","La Liga","Athletic Club","24","23","21","1,812",20.1,"3","0","3","0","0","4","1","2.3","2.3","0.1","4","46"
"Daniel Parejo","ESP","MF","La Liga","Villarreal","35","36","26","2,273",25.3,"3","3","2","1","2","8","0","2.5","0.8","1.8","19","176"
"Alfonso Pedraza","ESP","DF,MF","La Liga","Villarreal","28","12","4","460",5.1,"0","2","0","0","0","0","0","0.5","0.5","1.4","21","9"
"Pedri","ESP","MF","La Liga","Barcelona","21","37","35","2,879",32,"4","5","4","0","0","3","0","2.2","2.2","7.4","92","360"
"Adrià Pedrosa","ESP","DF","La Liga","Sevilla","26","31","27","2,298",25.5,"1","1","1","0","0","7","0","0.9","0.9","1.6","41","79"
"Iñaki Peña","ESP","GK","La Liga","Barcelona","25","16","15","1,396",15.5,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","3"
"Rubén Peña","ESP","FW,DF","La Liga","Osasuna","33","25","7","775",8.6,"0","0","0","0","0","1","0","0.7","0.7","0.6","18","27"
"Nicolas Pépé","CIV","FW,MF","La Liga","Villarreal","29","28","15","1,500",16.7,"3","6","3","0","0","3","0","3.8","3.8","4.8","76","60"
"Peque","ESP","MF,FW","La Liga","Sevilla","21","26","14","1,134",12.6,"1","1","1","0","0","1","0","2.5","2.5","1.2","14","35"
"Ayoze Pérez","ESP","FW","La Liga","Villarreal","31","30","22","1,970",21.9,"19","2","19","0","0","4","0","12.7","12.7","3.0","59","73"
"Carles Pérez","ESP","MF,FW","La Liga","Getafe","26","27","15","1,431",15.9,"3","0","3","0","0","2","0","2.4","2.4","1.5","31","20"
"Francisco Perez","ESP","FW,MF","La Liga","Valencia","21","26","4","570",6.3,"0","0","0","0","0","1","0","0.3","0.3","2.6","24","13"
"Kike Pérez","ESP","MF","La Liga","Valladolid","27","19","14","1,191",13.2,"2","0","2","0","0","6","0","2.1","2.1","1.0","19","67"
"Luis Pérez","ESP","DF","La Liga","Valladolid","29","30","28","2,558",28.4,"0","0","0","0","0","2","0","0.2","0.2","2.1","41","89"
"Romain Perraud","FRA","DF","La Liga","Betis","26","28","22","2,002",22.2,"2","2","2","0","0","8","1","0.6","0.6","1.6","51","62"
"Pica","ESP","DF","La Liga","Alavés","22","9","5","499",5.5,"0","0","0","0","0","1","0","0.3","0.3","0.0","3","15"
"Yeremi Pino","ESP","MF,FW","La Liga","Villarreal","21","34","25","1,934",21.5,"4","7","4","0","0","11","0","3.9","3.9","5.3","42","66"
"Portu","ESP","FW,MF","La Liga","Girona","32","27","6","779",8.7,"1","2","1","0","0","4","0","1.6","1.6","1.7","20","16"
