"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Guglielmo Vicario","ITA","GK","Premier League","Tottenham","27","24","24","2,160",24,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","1"
"Kyle Walker","ENG","DF","Premier League","Manchester City","34","15","9","970",10.8,"0","0","0","0","0","3","0","0.1","0.1","0.4","12","64"
"Kyle Walker-Peters","ENG","DF","Premier League","Southampton","27","33","33","2,918",32.4,"0","2","0","0","0","5","0","0.8","0.8","2.8","114","139"
"Christian Walton","ENG","GK","Premier League","Ipswich Town","28","7","7","630",7,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Aaron Wan-Bissaka","ENG","DF","Premier League","West Ham","26","36","35","3,154",35,"2","5","2","0","0","1","0","1.2","1.2","3.5","110","149"
"James Ward-Prowse","ENG","MF","Premier League","West Ham","29","15","12","1,039",11.5,"1","1","1","0","0","2","0","1.6","1.6","1.9","11","54"
"Ollie Watkins","ENG","FW","Premier League","Aston Villa","28","38","31","2,598",28.9,"16","8","14","2","2","2","0","15.3","13.8","3.3","55","31"
"Adam Webster","ENG","DF","Premier League","Brighton","29","14","11","887",9.9,"0","0","0","0","0","1","0","0.2","0.2","0.5","8","63"
"Danny Welbeck","ENG","FW","Premier League","Brighton","33","30","24","2,115",23.5,"10","4","9","1","1","5","0","9.6","8.8","1.4","21","47"
"Welington","BRA","DF","Premier League","Southampton","23","10","6","482",5.4,"0","0","0","0","0","1","0","0.0","0.0","0.1","5","11"
"Timo Werner","GER","FW,MF","Premier League","Tottenham","28","18","4","516",5.7,"0","3","0","0","0","0","0","1.0","1.0","2.5","42","30"
"Adam Wharton","ENG","MF","Premier League","Crystal Palace","20","20","16","1,318",14.6,"0","2","0","0","0","2","0","0.4","0.4","3.0","14","107"
"Ben White","ENG","DF","Premier League","Arsenal","26","17","13","1,198",13.3,"0","2","0","0","0","2","0","0.5","0.5","1.4","23","59"
"Mats Wieffer","NED","DF,MF","Premier League","Brighton","24","25","10","1,015",11.3,"1","3","1","0","0","6","0","0.8","0.8","1.6","18","62"
"Neco Williams","WAL","DF","Premier League","Nott'ham Forest","23","35","28","2,594",28.8,"1","3","1","0","0","7","0","2.3","2.3","1.6","68","89"
"Joe Willock","ENG","MF,FW","Premier League","Newcastle Utd","24","32","11","1,086",12.1,"0","2","0","0","0","4","0","1.6","1.6","2.1","38","41"
"Harry Wilson","WAL","FW,MF","Premier League","Fulham","27","25","12","1,162",12.9,"6","1","6","0","0","2","0","4.2","4.2","1.1","22","51"
"Harry Winks","ENG","MF","Premier League","Leicester City","28","22","17","1,538",17.1,"0","2","0","0","0","4","0","0.2","0.2","1.2","19","101"
"Yoane Wissa","COD","FW","Premier League","Brentford","27","35","34","2,919",32.4,"19","4","19","0","0","5","0","18.5","18.5","2.6","60","67"
"Chris Wood","NZL","FW","Premier League","Nott'ham Forest","32","36","35","2,959",32.9,"20","3","17","3","3","1","0","13.4","11.0","2.6","14","42"
"Nathan Wood-Gordon","ENG","DF","Premier League","Southampton","22","11","9","773",8.6,"0","0","0","0","0","2","0","0.2","0.2","0.0","2","17"
"Luke Woolfenden","ENG","DF","Premier League","Ipswich Town","25","15","12","1,187",13.2,"0","0","0","0","0","2","0","0.0","0.0","0.0","7","15"
"Yehor Yarmoliuk","UKR","MF","Premier League","Brentford","20","31","15","1,450",16.1,"0","0","0","0","0","6","0","0.6","0.6","0.9","15","63"
"Ryan Yates","ENG","MF","Premier League","Nott'ham Forest","26","35","18","1,915",21.3,"2","1","2","0","0","10","0","2.3","2.3","1.2","18","53"
"Leny Yoro","FRA","DF","Premier League","Manchester Utd","18","21","12","1,165",12.9,"0","0","0","0","0","5","0","0.7","0.7","0.1","19","52"
"Ashley Young","ENG","DF","Premier League","Everton","39","32","19","1,875",20.8,"1","3","1","0","0","7","1","0.3","0.3","2.3","24","90"
"Illia Zabarnyi","UKR","DF","Premier League","Bournemouth","21","36","35","3,109",34.5,"0","1","0","0","0","4","1","1.3","1.3","0.7","27","140"
"Oleksandr Zinchenko","UKR","DF,MF","Premier League","Arsenal","27","15","5","527",5.9,"0","1","0","0","0","1","0","0.6","0.6","0.2","10","48"
"Joshua Zirkzee","NED","FW,MF","Premier League","Manchester Utd","23","32","14","1,402",15.6,"3","1","3","0","0","2","0","4.8","4.8","1.5","14","44"
"Martin Ødegaard","NOR","MF","Premier League","Arsenal","25","30","26","2,325",25.8,"3","8","2","1","1","4","0","4.8","4.0","5.4","92","258"
"Junior Adamu","AUT","FW","Bundesliga","Freiburg","23","25","19","1,545",17.2,"2","2","2","0","0","5","1","5.5","5.5","2.4","8","14"
"Karim Adeyemi","GER","FW,MF","Bundesliga","Dortmund","22","25","17","1,433",15.9,"7","6","7","0","0","4","0","5.5","5.5","6.0","68","28"
"Amine Adli","MAR","MF,FW","Bundesliga","Leverkusen","24","20","6","766",8.5,"2","0","2","0","0","3","0","2.7","2.7","0.7","37","24"
"Oladapo Afolayan","ENG","FW,MF","Bundesliga","St. Pauli","26","32","17","1,639",18.2,"3","1","3","0","0","3","0","3.1","3.1","3.8","53","32"
"Felix Agu","NGA","DF","Bundesliga","Werder Bremen","24","22","21","1,751",19.5,"3","0","3","0","0","1","0","1.4","1.4","1.8","33","43"
"Kevin Akpoguma","NGA","DF","Bundesliga","Hoffenheim","29","32","23","2,220",24.7,"0","0","0","0","0","3","0","0.1","0.1","0.3","14","98"
"Nadiem Amiri","GER","MF","Bundesliga","Mainz 05","27","30","30","2,473",27.5,"7","5","5","2","2","9","2","5.5","3.9","6.6","50","204"
"Mohamed Amoura","ALG","FW","Bundesliga","Wolfsburg","24","31","29","2,467",27.4,"10","9","8","2","2","6","0","8.7","7.2","4.0","81","61"
"Robert Andrich","GER","MF,DF","Bundesliga","Leverkusen","29","23","19","1,598",17.8,"2","2","2","0","0","7","0","1.3","1.3","0.3","8","65"
"Waldemar Anton","GER","DF","Bundesliga","Dortmund","28","26","22","1,949",21.7,"2","2","2","0","0","4","0","1.7","1.7","0.8","32","117"
"Maximilian Arnold","GER","MF","Bundesliga","Wolfsburg","30","28","27","2,356",26.2,"3","5","3","0","0","7","1","0.9","0.9","3.5","9","128"
"Jann-Fiete Arp","GER","FW,MF","Bundesliga","Holstein Kiel","24","23","3","713",7.9,"2","0","1","1","2","8","1","3.8","2.2","1.0","14","21"
"Arthur","BRA","DF","Bundesliga","Leverkusen","21","20","7","752",8.4,"0","1","0","0","0","1","0","0.1","0.1","0.4","15","25"
"Noah Atubolu","GER","GK","Bundesliga","Freiburg","22","26","26","2,307",25.6,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","2"
