"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Ben White","ENG","DF","Arsenal","13.3","692","583","107","20","1","7","17","83","0","0","0","0","580","2","7"
"Mats Wieffer","NED","DF,MF","Brighton","11.3","698","647","49","13","0","1","13","36","0","0","0","0","594","2","14"
"Neco Williams","WAL","DF","Nott'ham Forest","28.8","1116","888","224","19","1","4","59","203","2","0","2","0","843","4","31"
"Willian","BRA","FW,MF","Fulham","2.9","208","196","11","2","0","4","16","2","7","3","4","0","178","1","1"
"Joe Willock","ENG","MF,FW","Newcastle Utd","12.1","363","356","5","0","0","2","18","5","0","0","0","0","300","2","8"
"Callum Wilson","ENG","FW","Newcastle Utd","4.1","53","46","6","0","0","0","2","0","0","0","0","0","40","1","4"
"Harry Wilson","WAL","FW,MF","Fulham","12.9","445","393","51","16","1","5","41","4","27","14","6","1","326","1","6"
"Harry Winks","ENG","MF","Leicester City","17.1","1045","981","61","35","4","2","34","5","16","11","3","0","910","3","11"
"Ben Winterburn","ENG","MF,FW","Bournemouth","0.3","7","7","0","0","0","0","0","0","0","0","0","0","5","0","0"
"Yoane Wissa","COD","FW","Brentford","32.4","588","552","33","4","5","1","20","2","1","0","0","0","450","3","23"
"Chris Wood","NZL","FW","Nott'ham Forest","32.9","490","485","0","0","2","1","1","0","0","0","0","0","315","5","7"
"Nathan Wood-Gordon","ENG","DF","Southampton","8.6","476","465","10","4","0","0","3","1","0","0","0","0","444","1","1"
"Luke Woolfenden","ENG","DF","Ipswich Town","13.2","562","547","13","9","0","2","0","1","0","0","0","0","496","2","2"
"Yehor Yarmoliuk","UKR","MF","Brentford","16.1","760","752","7","3","4","9","16","4","0","0","0","0","661","1","12"
"Ryan Yates","ENG","MF","Nott'ham Forest","21.3","758","699","56","23","0","0","8","0","2","0","0","0","618","3","19"
"Leny Yoro","FRA","DF","Manchester Utd","12.9","766","745","20","9","2","1","1","7","0","0","0","0","708","1","5"
"Ashley Young","ENG","DF","Everton","20.8","999","770","222","25","3","4","75","180","15","8","6","0","708","7","20"
"Illia Zabarnyi","UKR","DF","Bournemouth","34.5","1710","1677","31","27","6","7","6","1","0","0","0","0","1404","2","10"
"Oleksandr Zinchenko","UKR","DF,MF","Arsenal","5.9","451","399","49","14","2","3","13","33","1","0","0","0","382","3","3"
"Joshua Zirkzee","NED","FW,MF","Manchester Utd","15.6","410","400","9","1","6","2","4","0","0","0","0","0","292","1","15"
"Martin Ødegaard","NOR","MF","Arsenal","25.8","1499","1373","114","35","25","3","86","12","37","31","0","0","1237","12","27"
"Junior Adamu","AUT","FW","Freiburg","17.2","312","292","18","0","2","0","5","2","0","0","0","0","198","2","12"
"Karim Adeyemi","GER","FW,MF","Dortmund","15.9","401","388","11","1","3","2","26","7","2","2","0","0","298","2","20"
"Amine Adli","MAR","MF,FW","Leverkusen","8.5","360","346","12","0","0","2","33","8","3","2","1","0","267","2","14"
"Oladapo Afolayan","ENG","FW,MF","St. Pauli","18.2","461","434","22","3","1","4","53","11","0","0","0","0","320","5","31"
"Felix Agu","NGA","DF","Werder Bremen","19.5","822","667","153","6","0","3","49","147","0","0","0","0","655","2","26"
"Erik Ahlstrand","SWE","FW,MF","St. Pauli","0.5","13","13","0","0","0","0","0","0","0","0","0","0","10","0","0"
"Kevin Akpoguma","NGA","DF","Hoffenheim","24.7","1369","1280","85","43","1","5","12","14","0","0","0","0","1193","4","10"
"Andreas Albers","DEN","FW","St. Pauli","0.7","29","28","1","0","0","0","0","0","0","0","0","0","15","0","0"
"Ben Alexander Voll","GER","GK","St. Pauli","1.0","50","33","17","4","0","0","0","0","0","0","0","0","28","0","0"
"Skelly Alvero","FRA","MF","Werder Bremen","2.6","91","90","0","0","0","0","0","0","0","0","0","0","68","1","3"
"Aurele Amenda","SUI","DF","Eint Frankfurt","1.1","69","66","3","1","0","3","0","1","0","0","0","0","58","0","2"
"Nadiem Amiri","GER","MF","Mainz 05","27.5","1781","1508","259","120","10","14","166","10","113","40","55","1","1371","14","36"
"Mohamed Amoura","ALG","FW","Wolfsburg","27.4","757","714","38","0","9","14","35","16","0","0","0","0","532","5","42"
"Robert Andrich","GER","MF,DF","Leverkusen","17.8","978","952","24","15","2","7","12","4","0","0","0","0","865","2","6"
"Waldemar Anton","GER","DF","Dortmund","21.7","1841","1763","78","33","2","6","24","37","0","0","0","0","1664","0","18"
"Maximilian Arnold","GER","MF","Wolfsburg","26.2","1358","1135","218","109","3","17","152","4","84","51","32","1","1049","5","18"
"Jann-Fiete Arp","GER","FW,MF","Holstein Kiel","7.9","174","146","23","3","1","5","24","9","7","5","2","0","102","5","8"
"Arthur","BRA","DF","Leverkusen","8.4","388","342","45","1","0","0","16","44","0","0","0","0","306","1","13"
"Noah Atubolu","GER","GK","Freiburg","25.6","1140","952","186","60","0","2","0","0","0","0","0","0","849","2","1"
"Ayman Azhil","MAR","MF","Dortmund","0.3","4","4","0","0","0","0","0","0","0","0","0","0","3","0","1"
"Adam Aznou","MAR","DF","Bayern Munich","0.2","17","14","2","0","0","0","1","2","0","0","0","0","13","1","0"
"Aliou Badara Baldé","GUI","MF,FW","Bochum","1.0","20","18","1","0","1","0","4","1","0","0","0","0","11","1","1"
"Ridle Baku","GER","FW,MF","Wolfsburg","13.0","514","467","46","6","3","2","37","40","0","0","0","0","381","1","22"
"Ridle Baku","GER","DF,MF","RB Leipzig","14.2","638","547","88","5","5","3","34","83","0","0","0","0","480","3","22"
"Samuel Bamba","GER","FW,MF","Bochum","0.3","22","20","2","1","0","0","5","0","1","1","0","0","17","0","1"
"Noahkai Banks","USA","DF","Augsburg","3.1","168","157","11","4","0","0","2","6","0","0","0","0","156","0","0"
"Scott Banks","SCO","FW,MF","St. Pauli","1.3","33","33","0","0","0","0","5","0","0","0","0","0","21","0","0"
"Aymen Barkok","MAR","MF","Mainz 05","0.8","37","35","2","1","0","0","5","0","1","1","0","0","26","0","2"
"Michy Batshuayi","BEL","FW","Eint Frankfurt","3.3","66","61","4","1","0","0","1","0","0","0","0","0","53","1","0"
"Maximilian Bauer","GER","DF","Augsburg","7.3","340","320","19","11","0","2","4","4","0","0","0","0","275","1","2"
"Oliver Baumann","GER","GK","Hoffenheim","28.0","1062","844","215","79","3","2","0","0","0","0","0","0","734","3","0"
"Christoph Baumgartner","AUT","MF","RB Leipzig","17.9","617","581","27","3","10","1","14","9","1","0","0","0","421","9","29"
"Ihlas Bebou","TOG","MF","Hoffenheim","0.1","4","4","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Adrian Beck","GER","MF,FW","Heidenheim","17.8","725","671","53","3","0","4","32","14","17","10","6","0","581","1","19"
"Timo Becker","GER","DF","Holstein Kiel","27.2","1026","840","186","41","1","14","22","145","0","0","0","0","794","0","26"
"Hannes Behrens","GER","DF","Hoffenheim","0.3","22","21","1","0","0","0","0","1","0","0","0","0","16","0","0"
"Kevin Behrens","GER","FW","Wolfsburg","1.9","79","76","3","0","0","1","0","1","0","0","0","0","48","0","2"
"Maximilian Beier","GER","FW,MF","Dortmund","17.7","413","396","13","0","1","0","16","10","0","0","0","0","291","4","22"
"Stefan Bell","GER","DF","Mainz 05","16.0","719","691","23","20","0","2","0","1","0","0","0","0","565","5","4"
"Jeanuël Belocian","FRA","DF,MF","Leverkusen","0.8","40","35","5","1","0","0","0","4","0","0","0","0","34","0","1"
"László Bénes","SVK","MF,FW","Union Berlin","6.5","330","273","56","27","1","1","48","6","22","9","12","0","223","1","7"
"Ramy Bensebaini","ALG","DF","Dortmund","22.5","1478","1283","194","41","4","5","36","133","14","13","0","0","1273","1","18"
"Mergim Berisha","GER","FW,MF","Hoffenheim","3.7","56","53","2","0","3","1","3","0","0","0","0","0","39","1","0"
"Mergim Berisha","GER","FW","Augsburg","0.4","9","9","0","0","0","0","1","0","0","0","0","0","6","0","0"
"Bernardo","BRA","DF","Bochum","19.8","991","941","47","26","0","2","14","17","0","0","0","0","730","3","30"
"Alexander Bernhardsson","SWE","FW,MF","Holstein Kiel","14.0","319","294","23","4","2","4","34","8","10","4","5","1","193","2","13"
"Matúš Bero","SVK","MF","Bochum","28.5","1317","1043","266","54","7","4","124","133","68","41","25","0","894","8","37"
"Jan-Niklas Beste","GER","FW,MF","Freiburg","2.4","94","79","15","7","0","0","20","3","5","2","1","0","70","0","2"
"El Bilal Touré","MLI","FW,MF","Stuttgart","4.0","96","94","0","0","1","0","0","0","0","0","0","0","75","2","3"
"Tom Bischof","GER","MF,FW","Hoffenheim","28.4","1537","1344","186","67","3","6","145","13","97","35","42","3","1210","7","54"
"Leonardo Bittencourt","GER","MF","Werder Bremen","10.9","680","659","19","9","2","3","22","3","7","4","3","0","571","2","10"
"Myron Boadu","NED","FW","Bochum","11.6","195","183","12","0","0","0","3","0","0","0","0","0","139","0","11"
"Sacha Boey","FRA","DF","Bayern Munich","6.6","500","442","58","4","0","0","11","54","0","0","0","0","462","0","4"
"Victor Boniface","NGA","FW","Leverkusen","11.2","245","237","6","0","1","2","6","2","0","0","0","0","172","2","7"
"Sebastiaan Bornauw","BEL","DF","Wolfsburg","8.8","330","317","13","11","0","2","1","1","0","0","0","0","270","0","3"
"Carlo Boukhalfa","MAR","MF","St. Pauli","18.3","467","460","4","3","2","1","10","0","0","0","0","0","333","3","15"
"Julian Brandt","GER","MF","Dortmund","25.6","1209","1157","48","7","18","3","71","18","20","11","6","0","953","4","30"
"Tim Breithaupt","GER","MF","Augsburg","1.3","67","65","2","2","0","0","1","0","0","0","0","0","58","0","2"
"Maximilian Breunig","GER","FW,MF","Heidenheim","3.9","81","78","3","0","0","1","1","3","0","0","0","0","47","0","6"
"Moritz Broschinski","GER","FW,MF","Bochum","15.4","295","274","19","1","0","0","28","2","0","0","0","0","187","2","24"
"Nathaniel Brown","GER","DF,MF","Eint Frankfurt","21.6","901","713","181","19","2","3","92","114","48","43","1","0","727","7","28"
"Jacob Bruun Larsen","DEN","FW,MF","Hoffenheim","4.4","163","150","13","1","2","2","19","5","5","2","3","0","121","0","3"
"Jacob Bruun Larsen","DEN","MF,FW","Stuttgart","4.6","163","154","8","1","2","3","18","2","5","3","1","0","115","1","6"
"Emi Buendía","ARG","MF","Leverkusen","2.9","157","155","1","1","3","1","3","0","0","0","0","0","123","1","2"
"Marius Bülter","GER","FW,DF","Hoffenheim","19.2","586","530","55","2","3","3","84","46","0","0","0","0","394","1","31"
"Jonathan Burkardt","GER","FW","Mainz 05","23.4","523","475","47","0","2","8","27","6","0","0","0","0","379","1","24"
"Oliver Burke","SCO","FW","Werder Bremen","10.1","299","292","5","0","0","0","20","4","0","0","0","0","179","2","16"
"Marnon Busch","GER","DF,MF","Heidenheim","15.5","845","698","142","25","1","13","52","116","1","0","1","0","614","5","16"
"Anthony Caci","FRA","DF","Mainz 05","29.8","1655","1345","302","26","6","11","133","256","20","7","8","1","1188","8","61"
"Cole Campbell","USA","MF,FW","Dortmund","0.2","15","15","0","0","0","0","1","0","0","0","0","0","13","0","0"
"Emre Can","GER","DF,MF","Dortmund","23.4","1905","1838","64","45","3","7","11","14","0","0","0","0","1705","3","10"
"Tiago Cardoso","LUX","GK","Gladbach","4.2","179","135","44","13","0","0","0","0","0","0","0","0","134","0","0"
"Abdoulie Ceesay","GAM","FW","St. Pauli","0.7","14","14","0","0","1","0","0","0","0","0","0","0","8","0","0"
"Julian Chabot","GER","DF","Stuttgart","25.2","1946","1822","122","61","0","15","2","3","0","0","0","0","1749","2","6"
"El Chadaille Bitshiabu","FRA","DF","RB Leipzig","12.6","866","824","38","26","1","4","4","5","0","0","0","0","731","4","7"
"Fares Chaïbi","ALG","MF,FW","Eint Frankfurt","11.3","462","391","66","21","4","4","72","7","38","19","16","0","304","5","12"
"Timothy Chandler","USA","DF","Eint Frankfurt","0.3","24","24","0","0","0","0","1","0","0","0","0","0","17","0","1"
"Anrie Chase","JPN","DF","Stuttgart","8.2","541","519","22","10","0","5","3","10","0","0","0","0","497","0","1"
"Arthur Chaves","BRA","DF","Hoffenheim","24.3","1177","1128","46","31","0","4","8","14","0","0","0","0","966","3","22"
"Fabio Chiarodia","ITA","DF","Gladbach","4.2","206","179","27","4","1","1","0","6","0","0","0","0","173","0","2"
"Carney Chukwuemeka","ENG","MF","Dortmund","2.8","122","120","2","1","3","0","1","0","1","0","0","0","96","0","5"
"Alexis Claude-Maurice","FRA","MF,FW","Augsburg","23.4","655","634","21","4","3","3","21","3","0","0","0","0","543","0","16"
"Nnamdi Collins","GER","DF","Eint Frankfurt","16.5","888","811","77","16","0","2","17","61","0","0","0","0","766","0","7"
"Kingsley Coman","FRA","FW","Bayern Munich","14.2","740","718","20","0","0","2","45","9","0","0","0","0","624","2","13"
"Sirlord Conteh","GER","FW,MF","Heidenheim","9.9","224","213","9","0","0","0","20","4","0","0","0","0","158","2","8"
"Danny da Costa","GER","DF","Mainz 05","22.3","1201","1148","48","16","0","4","22","32","0","0","0","0","942","5","21"
"Yan Couto","BRA","DF,FW","Dortmund","9.9","723","626","96","6","0","4","53","88","2","0","2","0","586","1","17"
"Tomáš Čvančara","CZE","FW","Gladbach","9.2","239","229","9","1","0","1","15","6","0","0","0","0","171","1","8"
"Finn Dahmen","GER","GK","Augsburg","19.0","761","555","204","59","0","1","0","0","0","0","0","0","528","2","0"
"Thomas Dähne","GER","GK","Holstein Kiel","9.0","395","286","109","18","0","0","0","0","0","0","0","0","304","0","0"
"Mahmoud Dahoud","GER","MF","Eint Frankfurt","4.0","225","218","6","5","2","1","4","0","1","0","1","0","191","1","6"
"Ameen Al-Dakhil","BEL","DF","Stuttgart","4.8","339","321","16","6","0","2","0","0","0","0","0","0","311","2","1"
"Bence Dárdai","HUN","MF","Wolfsburg","14.5","445","426","18","10","1","1","10","3","1","1","0","0","357","1","13"
"Lukas Daschner","GER","MF,FW","Bochum","4.6","144","126","18","7","3","0","19","1","7","4","3","0","93","0","1"
"Alphonso Davies","CAN","DF","Bayern Munich","17.3","1272","1143","127","21","6","1","22","106","0","0","0","0","1141","2","20"
"Olivier Deman","BEL","DF","Werder Bremen","0.7","58","45","13","0","0","0","6","10","3","3","0","0","38","0","2"
"Ermedin Demirović","BIH","FW","Stuttgart","20.6","367","349","15","0","3","0","3","0","0","0","0","0","258","3","11"
"Justin Diehl","GER","FW,DF","Stuttgart","1.2","59","55","4","0","0","0","10","0","3","2","0","0","42","0","0"
"Eric Dier","ENG","DF","Bayern Munich","16.3","1412","1360","50","25","2","7","2","5","0","0","0","0","1324","2","6"
"Junior Dina Ebimbe","FRA","MF,FW","Eint Frankfurt","3.3","112","104","8","0","0","1","8","8","0","0","0","0","71","0","1"
"Eren Dinkçi","GER","MF,FW","Freiburg","13.3","394","388","4","0","1","1","15","0","1","0","0","0","297","2","17"
"Ritsu Doan","JPN","FW,MF","Freiburg","31.8","1090","1064","23","4","12","5","80","10","9","8","1","0","783","3","42"
"Danilho Doekhi","NED","DF","Union Berlin","34.0","1270","1240","25","19","1","1","10","6","0","0","0","0","995","5","20"
"Niklas Dorsch","GER","MF","Augsburg","0.4","26","24","2","2","1","0","1","0","0","0","0","0","22","0","1"
"Niklas Dorsch","GER","MF","Heidenheim","14.8","687","597","88","53","0","18","37","3","28","12","8","0","573","2","3"
"Patrick Drewes","GER","GK","Bochum","21.0","860","598","260","83","0","0","0","0","0","0","0","0","565","2","1"
"Tim Drexler","GER","DF","Hoffenheim","4.0","180","173","7","4","1","2","1","3","0","0","0","0","153","0","3"
"Marvin Ducksch","GER","FW","Werder Bremen","26.9","908","676","224","55","8","13","167","9","105","33","56","0","560","8","24"
"Julien Duranville","BEL","FW,MF","Dortmund","3.1","84","83","1","0","1","1","13","1","0","0","0","0","59","0","2"
"Adam Dźwigała","POL","DF,MF","St. Pauli","4.1","212","185","26","8","1","0","3","16","0","0","0","0","173","1","5"
"Johannes Eggestein","GER","FW","St. Pauli","20.6","547","515","29","0","4","2","35","0","0","0","0","0","404","3","28"
"Maximilian Eggestein","GER","MF","Freiburg","31.6","1452","1419","29","25","2","0","9","4","0","0","0","0","1213","4","32"
"Hugo Ekitike","FRA","FW","Eint Frankfurt","28.5","644","586","56","2","6","5","17","1","0","0","0","0","486","2","23"
"Elif Elmas","MKD","MF","RB Leipzig","0.5","16","16","0","0","1","0","0","0","0","0","0","0","13","0","1"
"Nico Elvedi","SUI","DF","Gladbach","23.7","1522","1399","120","27","3","1","1","1","0","0","0","0","1400","3","9"
"Arne Engels","BEL","MF,FW","Augsburg","0.9","27","24","3","0","0","0","4","0","2","2","0","0","19","0","1"
"Patrick Erras","GER","DF","Holstein Kiel","9.2","510","490","20","12","0","0","0","0","0","0","0","0","469","0","3"
"Samuel Essende","COD","FW","Augsburg","18.2","301","278","19","2","0","0","5","0","0","0","0","0","195","4","12"
"Frank Feller","GER","GK","Heidenheim","1.3","65","47","18","7","0","0","0","0","0","0","0","0","41","0","0"
"Kilian Fischer","GER","DF","Wolfsburg","25.5","1241","985","254","17","0","4","39","237","0","0","0","0","976","2","27"
"Jonas Föhrenbach","GER","DF","Heidenheim","20.4","909","741","167","8","0","2","59","159","0","0","0","0","659","1","37"
"Marco Friedl","AUT","DF","Werder Bremen","24.0","1468","1397","68","57","0","4","2","4","0","0","0","0","1324","3","6"
"Marvin Friedrich","GER","DF","Gladbach","11.0","706","686","19","10","0","0","0","1","0","0","0","0","624","1","6"
"Jeremie Frimpong","NED","DF,MF","Leverkusen","25.7","940","844","94","2","0","2","116","92","0","0","0","0","715","2","29"
"Chris Führich","GER","MF,FW","Stuttgart","22.0","1003","915","84","9","8","1","82","30","45","17","1","0","807","4","20"
"Shiō Fukuda","JPN","FW","Gladbach","0.7","10","10","0","0","0","0","1","0","0","0","0","0","5","0","2"
"Cristian Gamboa","CRC","DF","Bochum","2.5","124","104","20","2","1","2","7","18","0","0","0","0","75","0","3"
"Aleix García","ESP","MF","Leverkusen","16.2","1390","1270","118","49","2","33","92","10","58","31","16","0","1212","2","16"
"Viggo Gebel","GER","MF","RB Leipzig","0.2","4","4","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Lutsharel Geertruida","NED","DF","RB Leipzig","17.3","1109","974","132","22","1","3","13","110","0","0","0","0","961","3","12"
"Dennis Geiger","GER","MF,FW","Hoffenheim","8.2","362","341","18","12","2","0","5","2","2","1","1","0","316","3","4"
"Valentin Gendrey","FRA","DF","Hoffenheim","15.7","690","515","171","7","0","2","51","164","0","0","0","0","482","4","17"
"Yannick Gerhardt","GER","MF,DF","Wolfsburg","16.9","667","625","41","12","1","1","24","24","1","1","0","0","513","1","19"
"Max Geschwill","GER","DF","Holstein Kiel","14.2","668","595","73","16","0","2","10","54","0","0","0","0","496","0","18"
"Dimitris Giannoulis","GRE","DF","Augsburg","29.4","1440","1145","291","7","2","2","120","270","13","6","1","0","1076","4","54"
"Armin Gigovic","BIH","MF","Holstein Kiel","21.1","674","645","25","9","5","4","14","0","1","0","1","0","524","4","13"
"Benedikt Gimber","GER","DF","Heidenheim","29.7","1282","1221","55","44","0","6","3","3","0","0","0","0","1058","6","16"
"Matthias Ginter","GER","DF","Freiburg","28.5","1521","1460","52","46","2","9","13","4","0","0","0","0","1256","9","10"
"Jamie Gittens","ENG","FW,MF","Dortmund","19.7","558","548","8","1","4","3","49","5","2","0","0","0","427","2","22"
"Serge Gnabry","GER","FW,MF","Bayern Munich","13.8","597","576","19","3","5","1","22","13","1","0","0","0","498","2","14"
"Tidiam Gomis","FRA","MF,FW","RB Leipzig","1.7","52","50","2","0","0","0","4","0","0","0","0","0","42","0","1"
"Leon Goretzka","GER","MF,DF","Bayern Munich","14.7","1225","1196","24","18","5","8","5","6","0","0","0","0","1101","5","12"
"Robin Gosens","GER","DF","Union Berlin","1.0","42","32","9","0","0","0","1","9","0","0","0","0","23","1","0"
"Mario Götze","GER","MF,FW","Eint Frankfurt","17.1","846","807","36","13","3","2","39","6","17","12","2","0","656","3","26"
"Jeffrey Gouweleeuw","NED","DF","Augsburg","32.7","1694","1582","106","89","3","2","17","0","0","0","0","0","1400","6","10"
"Kamil Grabara","POL","GK","Wolfsburg","28.7","1139","896","237","83","1","2","0","0","0","0","0","0","791","6","0"
"Michael Gregoritsch","AUT","FW","Freiburg","7.1","158","149","8","0","0","0","1","0","0","0","0","0","100","1","8"
"Vincenzo Grifo","ITA","FW,MF","Freiburg","27.0","1529","1335","188","61","10","10","155","11","72","40","28","0","1173","6","29"
"Florian Grillitsch","AUT","MF","Hoffenheim","6.7","417","388","29","25","3","8","4","2","0","0","0","0","361","0","9"
"Álex Grimaldo","ESP","DF","Leverkusen","29.3","2094","1804","285","35","4","10","217","145","105","62","26","0","1700","5","59"
"Pascal Groß","GER","MF,DF","Dortmund","25.9","1970","1736","228","68","3","12","174","48","98","46","30","3","1589","6","33"
"Marco Grüll","AUT","FW,MF","Werder Bremen","13.1","327","305","21","7","2","1","21","7","1","0","1","0","251","1","23"
"Raphaël Guerreiro","POR","DF,MF","Bayern Munich","17.5","1359","1235","118","16","8","2","27","95","5","3","1","0","1206","6","26"
"Morgan Guilavogui","GUI","FW,MF","St. Pauli","20.1","549","541","2","0","1","3","13","2","0","0","0","0","362","6","24"
"Serhou Guirassy","GUI","FW","Dortmund","28.9","627","578","48","0","9","3","1","0","0","0","0","0","456","1","12"
"Péter Gulácsi","HUN","GK","RB Leipzig","29.2","904","660","241","45","0","0","0","0","0","0","0","0","742","3","0"
"Robert Gumny","POL","DF","Augsburg","3.0","138","104","34","1","0","0","5","33","0","0","0","0","105","0","6"
"Christian Günter","GER","DF","Freiburg","25.7","1143","885","256","25","2","1","121","196","35","23","6","0","851","2","33"
"Janik Haberer","GER","MF,DF","Union Berlin","18.8","740","675","63","3","1","1","15","52","0","0","0","0","570","2","23"
"Robin Hack","GER","FW,MF","Gladbach","24.1","898","834","59","15","12","9","61","21","23","18","3","0","684","5","28"
"Amadou Haidara","MLI","MF","RB Leipzig","14.7","902","884","16","9","8","1","12","7","0","0","0","0","723","2","11"
"Andreas Hanche-Olsen","NOR","DF","Mainz 05","14.3","642","598","43","15","0","2","1","19","0","0","0","0","530","1","3"
"Phil Harres","GER","FW","Holstein Kiel","17.2","265","240","25","0","0","1","6","2","0","0","0","0","150","0","14"
"Ramon Hendriks","NED","DF","Stuttgart","12.8","688","604","84","16","0","1","12","61","0","0","0","0","576","0","9"
"Paul Hennrich","GER","MF","Hoffenheim","0.1","3","2","0","0","0","0","0","0","0","0","0","0","2","1","0"
"Benjamin Henrichs","GER","DF","RB Leipzig","10.4","476","413","62","5","1","3","19","57","0","0","0","0","360","1","13"
"Mario Hermoso","ESP","DF","Leverkusen","3.3","249","235","13","3","0","3","5","4","0","0","0","0","213","1","0"
"Piero Hincapié","ECU","DF","Leverkusen","29.7","2110","1944","159","33","2","7","37","83","0","0","0","0","1855","7","21"
"Adam Hložek","CZE","FW,MF","Hoffenheim","20.8","508","493","12","0","1","1","20","4","0","0","0","0","348","3","19"
"Nicolas Höfler","GER","MF","Freiburg","8.8","376","370","4","3","0","0","1","0","0","0","0","0","325","2","7"
"Jonas Hofmann","GER","MF,DF","Leverkusen","4.0","191","181","9","0","1","0","5","2","4","1","0","0","167","1","0"
"Philipp Hofmann","GER","FW","Bochum","25.3","694","673","16","0","2","2","10","1","0","0","0","0","441","5","12"
"Lucas Höler","GER","FW,MF","Freiburg","20.7","595","577","16","1","1","1","14","3","0","0","0","0","390","2","19"
"Benedict Hollerbach","GER","FW,MF","Union Berlin","28.2","674","660","13","0","3","4","73","2","0","0","0","0","441","1","54"
"Lewis Holtby","GER","MF","Holstein Kiel","13.8","706","600","102","55","2","2","46","16","26","13","10","0","540","4","17"
"Gerrit Holtmann","PHI","DF,FW","Bochum","12.6","411","379","32","0","0","2","91","31","0","0","0","0","270","0","28"
"Franck Honorat","FRA","FW","Gladbach","16.0","606","509","95","15","0","1","125","21","59","17","36","0","409","2","26"
"Mathias Honsak","AUT","FW,DF","Heidenheim","13.1","462","404","57","11","0","0","50","30","13","5","7","0","324","1","16"
"Timo Horn","GER","GK","Bochum","13.0","499","358","140","42","0","0","0","0","0","0","0","0","284","1","0"
"Lukáš Hrádecký","FIN","GK","Leverkusen","29.0","912","714","195","60","0","0","0","0","0","0","0","0","687","3","0"
"Robin Hranáč","CZE","DF","Hoffenheim","2.4","147","145","2","2","0","0","0","0","0","0","0","0","127","0","1"
"Hong Hyunseok","KOR","MF","Mainz 05","5.9","231","227","2","0","0","0","5","1","1","1","0","0","180","2","8"
"Oscar Højlund","DEN","MF","Eint Frankfurt","8.0","408","398","10","10","0","2","1","0","0","0","0","0","359","0","3"
"Arijon Ibrahimović","GER","FW","Bayern Munich","0.0","3","3","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Andrej Ilic","SRB","FW","Union Berlin","10.4","191","185","6","0","1","1","3","0","0","0","0","0","110","0","4"
"Jackson Irvine","AUS","MF","St. Pauli","29.0","969","957","7","3","6","4","18","1","0","0","0","0","684","5","17"
"Ko Itakura","JPN","DF","Gladbach","31.0","1817","1759","53","28","1","3","9","2","0","0","0","0","1617","5","11"
"Hiroki Ito","JPN","DF","Bayern Munich","2.8","211","190","21","5","1","1","2","16","0","0","0","0","183","0","3"
"Marko Ivezić","SRB","DF","Holstein Kiel","18.4","934","906","27","22","1","2","1","3","0","0","0","0","803","1","10"
"Lee Jae-sung","KOR","MF","Mainz 05","29.4","1049","1025","15","10","4","4","31","5","0","0","0","0","813","9","38"
"Kristijan Jakić","CRO","MF","Augsburg","25.6","1085","1062","22","15","4","11","13","7","0","0","0","0","900","1","29"
"Luca Jaquez","SUI","DF","Stuttgart","2.8","212","206","6","5","0","2","1","1","0","0","0","0","194","0","1"
"Dominik Javorček","SVK","DF,MF","Holstein Kiel","4.3","163","121","40","4","1","0","20","27","9","5","4","0","115","2","7"
"Finn Jeltsch","GER","DF","Stuttgart","8.7","639","603","36","9","3","0","3","24","0","0","0","0","582","0","4"
"Fredrik Jensen","FIN","MF","Augsburg","8.5","226","221","4","0","0","1","20","2","2","1","1","0","157","1","17"
"Moritz Jenz","GER","DF","Mainz 05","17.8","845","825","19","12","0","1","0","1","0","0","0","0","712","1","1"
"Carl Johansson","SWE","DF","Holstein Kiel","6.3","305","290","14","6","0","0","0","1","0","0","0","0","268","1","0"
"Anthony Jung","GER","DF","Werder Bremen","21.1","1512","1388","121","49","0","0","4","11","0","0","0","0","1354","3","11"
"Josip Juranović","CRO","DF,MF","Union Berlin","12.9","588","416","168","21","0","3","78","120","27","14","10","2","379","4","15"
"David Jurásek","CZE","DF","Hoffenheim","6.9","439","362","74","1","1","2","55","73","0","0","0","0","307","3","17"
"Yusuf Kabadayı","GER","FW,MF","Augsburg","0.8","25","24","1","0","0","0","1","1","0","0","0","0","16","0","1"
"Almugera Kabar","GER","DF","Dortmund","1.5","98","84","14","0","0","0","1","14","0","0","0","0","89","0","0"
"Issa Kaboré","BFA","DF,FW","Werder Bremen","3.4","180","137","43","2","0","1","19","41","0","0","0","0","142","0","5"
"Pavel Kadeřábek","CZE","DF","Hoffenheim","17.5","869","692","171","10","1","1","74","161","0","0","0","0","609","6","16"
"Jakub Kamiński","POL","DF,MF","Wolfsburg","12.6","466","379","86","7","0","2","50","59","20","12","7","0","328","1","17"
"Kevin Kampl","SVN","MF","RB Leipzig","17.7","1175","1105","63","38","4","1","29","8","17","6","6","0","1046","7","19"
"Harry Kane","ENG","FW","Bayern Munich","26.5","645","621","18","1","17","14","13","9","1","0","0","0","509","6","21"
"Atakan Karazor",NA,"MF","Stuttgart","29.1","1857","1736","115","112","6","5","4","3","0","0","0","0","1608","6","24"
