"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Martín Tejón","ESP","MF,DF","Valencia","0.5","26","26","0","0","0","0","1","0","0","0","0","0","20","0","0"
"Nahuel Tenaglia","ARG","DF","Alavés","32.5","1410","1044","358","11","0","4","85","344","0","0","0","0","1017","8","35"
"Marc-André ter Stegen","GER","GK","Barcelona","7.5","251","213","38","11","0","0","0","0","0","0","0","0","233","0","0"
"Ramón Terrats","ESP","MF,FW","Villarreal","1.5","79","77","2","1","1","2","5","0","0","0","0","0","64","0","2"
"Ramón Terrats","ESP","MF,FW","Getafe","13.5","352","318","31","15","5","3","35","4","12","4","7","0","228","3","11"
"Raúl de Tomás","ESP","DF,FW","Rayo Vallecano","0.2","6","5","1","0","0","0","0","0","0","0","0","0","5","0","0"
"Pablo Torre","ESP","MF,FW","Barcelona","3.4","220","198","21","5","3","0","13","0","14","9","1","0","180","1","4"
"David Torres","ESP","DF","Valladolid","15.4","714","649","63","17","0","3","3","11","0","0","0","0","589","2","10"
"Ferrán Torres","ESP","FW,MF","Barcelona","12.3","360","329","28","5","2","2","17","1","9","2","0","0","267","3","14"
"Lucas Torró","ESP","MF","Osasuna","32.9","1363","1335","22","22","1","27","1","0","0","0","0","0","1026","6","10"
"Hamari Traoré","MLI","DF","Real Sociedad","7.8","460","371","89","12","0","1","9","77","0","0","0","0","381","0","8"
"Óscar Trejo","ARG","MF","Rayo Vallecano","5.5","312","289","19","2","1","0","7","6","3","1","1","0","261","4","4"
"Viktor Tsyhankov","UKR","FW,MF","Girona","21.3","871","751","116","23","3","1","124","12","80","36","29","1","646","4","23"
"Beñat Turrientes","ESP","MF","Real Sociedad","10.5","452","423","29","17","0","6","19","1","10","5","1","0","405","0","2"
"Christantus Uche","NGA","FW,MF","Getafe","27.6","592","578","11","0","1","2","22","0","0","0","0","0","387","3","23"
"Naci Ünüvar","NED","MF,DF","Espanyol","0.3","18","18","0","0","0","0","2","0","0","0","0","0","13","0","2"
"Óscar Valentín","ESP","MF","Rayo Vallecano","20.4","830","809","19","19","0","4","2","0","0","0","0","0","688","2","19"
"Germán Valera","ESP","MF","Valencia","1.6","47","46","1","0","0","0","6","1","0","0","0","0","34","0","1"
"Martin Valjent","SVK","DF","Mallorca","30.7","1391","1294","92","42","1","4","11","49","0","0","0","0","1195","5","13"
"Jesús Vallejo","ESP","DF","Real Madrid","1.5","67","66","1","1","0","0","0","0","0","0","0","0","60","0","0"
"Federico Valverde","URU","MF,DF","Real Madrid","33.7","2237","2145","81","37","3","50","26","38","3","3","0","0","2010","11","23"
"Siebe Van Der Heyden","BEL","DF,MF","Mallorca","1.1","73","65","8","0","0","1","2","8","0","0","0","0","65","0","0"
"Ruben Vargas","SUI","FW,MF","Sevilla","7.5","247","219","28","3","0","0","37","9","16","12","2","0","166","0","13"
"José Luis García Vayá","ESP","MF","Valencia","19.4","1237","1086","143","70","4","25","109","0","72","22","36","3","970","8","12"
"Jesus Vazquez","ESP","DF","Valencia","10.2","447","332","112","8","0","0","23","103","0","0","0","0","345","3","22"
"Lucas Vázquez","ESP","DF","Real Madrid","24.3","1624","1415","204","37","1","7","63","151","16","4","7","0","1415","5","27"
"Alejo Véliz","ARG","FW","Espanyol","12.5","187","161","26","0","0","0","0","2","0","0","0","0","122","0","2"
"Mikel Vesga","ESP","MF","Athletic Club","11.0","539","523","14","9","3","4","8","4","0","0","0","0","429","2","4"
"Carlos Vicente","ESP","FW,MF","Alavés","34.4","1140","950","181","46","3","2","269","50","85","24","43","5","720","9","67"
"Pau Victor","ESP","FW","Barcelona","3.5","121","117","4","1","0","0","3","1","0","0","0","0","98","0","2"
"Nacho Vidal","ESP","DF","Osasuna","1.4","49","37","12","0","0","0","2","12","0","0","0","0","37","0","2"
"Fran Vieites","ESP","GK","Betis","4.0","119","71","48","19","0","1","0","0","0","0","0","0","76","0","0"
"Sergio Viera","ESP","MF","Las Palmas","1.1","51","50","1","0","0","1","0","0","0","0","0","0","45","0","1"
"Asier Villalibre","ESP","FW","Alavés","3.7","69","64","5","0","1","0","2","0","0","0","0","0","44","0","1"
"Iván Villar","ESP","GK","Celta Vigo","4.0","117","76","41","6","0","0","0","0","0","0","0","0","95","0","0"
"Viti","ESP","DF","Las Palmas","22.0","934","722","209","16","1","3","45","193","0","0","0","0","757","3","18"
"Daniel Vivian","ESP","DF","Athletic Club","29.0","1753","1685","65","58","2","11","8","2","0","0","0","0","1526","3","13"
"Krapyvtsov Vladyslav","UKR","GK","Girona","2.0","70","59","11","4","0","0","0","0","0","0","0","0","53","0","0"
"Iñaki Williams","GHA","FW","Athletic Club","29.5","830","798","26","0","7","7","115","21","0","0","0","0","525","6","35"
"Nico Williams","ESP","FW","Athletic Club","22.2","705","640","60","8","0","3","107","12","40","12","20","0","497","5","36"
"Axel Witsel","BEL","DF","Atlético Madrid","9.5","545","525","19","15","0","2","0","1","0","0","0","0","494","1","1"
"Lamine Yamal","ESP","FW","Barcelona","31.7","1553","1497","48","5","33","4","108","23","20","5","0","0","1161","8","57"
"Daniel Yáñez","ESP","FW","Real Madrid","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bertuğ Yıldırım","TUR","FW","Getafe","12.0","186","176","9","0","0","0","7","0","0","0","0","0","101","1","4"
"Arsen Zakharyan","RUS","MF,FW","Real Sociedad","0.8","33","32","1","0","2","1","1","0","1","1","0","0","28","0","0"
"Bryan Zaragoza","ESP","FW,MF","Osasuna","20.4","554","484","67","17","4","5","104","16","28","10","5","0","358","3","19"
"Igor Zubeldia","ESP","DF","Real Sociedad","25.2","1483","1431","44","41","3","12","1","1","0","0","0","0","1281","8","5"
"Martín Zubimendi","ESP","MF","Real Sociedad","32.9","1772","1708","57","55","2","11","12","1","1","0","0","0","1482","7","24"
"James Abankwah","IRL","DF,MF","Udinese","1.0","46","45","1","1","0","0","0","0","0","0","0","0","36","0","0"
"Saud Abdulhamid","KSA","DF","Roma","2.3","136","103","33","1","0","0","7","32","0","0","0","0","118","0","3"
"Oliver Abildgaard","DEN","MF","Como","0.1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Tammy Abraham","ENG","FW","Roma","0.0","3","3","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Tammy Abraham","ENG","FW","Milan","13.1","221","203","17","0","5","0","3","0","0","0","0","0","152","1","6"
"Federico Accornero","ITA","MF","Genoa","0.1","6","6","0","0","0","0","1","0","0","0","0","0","4","0","1"
"Francesco Acerbi","ITA","DF","Inter","19.0","1297","1256","39","24","0","2","10","8","0","0","0","0","1200","2","5"
"Che Adams","SCO","FW","Torino","29.5","557","513","43","3","4","5","10","1","0","0","0","0","414","1","17"
"Yacine Adli","FRA","MF","Fiorentina","13.5","890","795","90","44","3","14","63","6","39","17","19","0","718","5","12"
"Vasilije Adžić","MNE","MF,FW","Juventus","0.5","20","20","0","0","0","0","0","0","0","0","0","0","15","0","1"
"Michel Aebischer","SUI","MF","Bologna","8.0","419","393","24","13","1","5","14","0","8","2","4","0","366","2","4"
"Honest Ahanor","ITA","DF,MF","Genoa","3.0","76","64","12","1","0","0","4","10","1","1","0","0","51","0","3"
"Junior Ajayi","CIV","FW","Hellas Verona","0.1","4","4","0","0","0","0","0","0","0","0","0","0","4","0","0"
"Jean-Daniel Akpa-Akpro","CIV","MF","Monza","10.7","346","327","17","4","0","1","6","13","0","0","0","0","275","2","13"
"David Akpan Ankeye","NGA","FW,MF","Genoa","0.5","7","7","0","0","0","0","0","0","0","0","0","0","6","0","0"
"Faride Alidou","GER","FW,MF","Hellas Verona","0.8","20","18","2","1","0","0","3","0","1","1","0","0","16","0","0"
"Dele Alli","ENG","MF","Como","0.1","3","3","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Pontus Almqvist","SWE","FW,MF","Parma","12.4","297","290","6","1","0","0","11","5","0","0","0","0","215","1","11"
"Giorgio Altare","ITA","DF","Venezia","8.4","389","319","68","13","0","2","7","55","0","0","0","0","283","2","2"
"Sofyan Amrabat","MAR","MF","Fiorentina","2.0","133","122","11","10","0","4","3","1","0","0","0","0","112","0","0"
"Angeliño","ESP","DF","Roma","35.3","1969","1669","294","49","3","18","116","233","11","3","8","0","1544","6","25"
"Lorenzo Anghelè","ITA","FW","Juventus","0.1","4","4","0","0","0","0","0","0","0","0","0","0","4","0","0"
"Faustino Anjorin","ENG","MF","Empoli","12.4","441","418","22","8","2","4","17","1","8","4","2","0","355","1","8"
