"player","nation","pos","team","played_90s","touches","touches_def_pen","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen","take_ons_att","take_ons_succ","take_ons_tackled","carries","carry_dist","prog_carry_dist","prog_carries","carries_final_3rd","carries_att_pen","miscontrols","dispossessed","passes_rec","prog_passes_rec"
"Kobbie Mainoo","ENG","MF","Manchester Utd","18.3","1061","25","197","587","287","36","50","23","25","652","2850","1222","22","17","10","36","36","760","47"
"Tyrell Malacia","NED","DF","Manchester Utd","1.1","62","2","20","27","15","0","1","1","0","37","190","118","3","2","0","1","2","43","6"
"Donyell Malen","NED","FW","Aston Villa","3.4","129","2","9","33","94","25","11","4","5","79","652","370","12","7","7","8","7","87","30"
"Mateus Mane",NA,"MF","Wolves","0.0","6","0","0","6","0","0","0","0","0","2","22","7","0","0","0","0","0","4","0"
"Orel Mangala","BEL","MF","Everton","14.0","621","22","133","335","157","13","24","14","9","298","1574","576","6","6","3","12","12","406","19"
"Ryan Manning","IRL","DF,MF","Southampton","16.2","968","72","260","397","321","22","36","11","16","483","2023","982","14","13","4","17","5","573","74"
"Solly March","ENG","FW,MF","Brighton","1.9","118","3","12","33","73","7","4","1","3","57","398","167","5","2","3","3","1","67","20"
"Omar Marmoush","EGY","FW,MF","Manchester City","13.1","504","6","34","152","326","68","46","20","21","320","1975","960","29","20","15","45","19","361","78"
"Gabriel Martinelli","BRA","FW,MF","Arsenal","25.4","994","17","102","247","660","182","109","33","60","670","4985","2620","124","33","64","50","38","752","289"
"Emiliano Martínez","ARG","GK","Aston Villa","35.5","1449","1095","1429","20","0","0","1","1","0","889","4616","2936","0","0","0","1","0","784","0"
"Lisandro Martínez","ARG","DF","Manchester Utd","19.5","1524","156","713","697","125","18","7","6","1","1017","5141","3129","23","23","2","1","3","1069","7"
"Pape Matar Sarr","SEN","MF","Tottenham","21.3","1253","47","274","699","302","28","30","11","16","772","4547","1918","33","37","5","29","22","872","53"
"Jean-Philippe Mateta","FRA","FW","Crystal Palace","29.4","739","26","64","350","340","94","46","20","22","400","2143","1048","45","22","10","72","45","539","122"
"Stephy Mavididi","ENG","FW","Leicester City","17.9","863","23","132","327","421","61","95","35","47","583","4343","2355","91","40","27","39","35","623","138"
"Konstantinos Mavropanos","GRE","DF","West Ham","22.7","1532","244","806","671","63","24","17","9","5","864","4287","2292","17","10","1","12","0","1008","2"
"Noussair Mazraoui","MAR","DF","Manchester Utd","31.5","2139","167","839","976","349","30","48","26","18","1172","5481","2884","42","32","3","25","17","1289","58"
"Bryan Mbeumo","CMR","FW","Brentford","37.9","1781","62","246","567","998","168","111","52","47","1077","6721","3519","130","69","75","106","47","1204","351"
"James Mcatee","ENG","MF,FW","Manchester City","3.9","168","2","17","62","90","21","7","2","5","96","486","211","7","6","1","5","1","122","32"
"Kasey McAteer","IRL","FW","Leicester City","9.5","379","21","76","141","169","30","25","6","15","224","1455","575","19","11","9","20","16","243","71"
"Alex McCarthy","ENG","GK","Southampton","5.0","173","141","173","0","0","0","0","0","0","100","452","276","0","0","0","0","0","88","0"
"John McGinn","SCO","MF,FW","Aston Villa","24.7","1072","31","164","558","361","58","47","20","13","581","2930","1270","32","17","7","37","29","744","87"
"Dwight McNeil","ENG","MF,FW","Everton","15.2","748","6","73","328","368","25","45","24","20","443","2674","1162","38","34","5","26","33","510","80"
"Scott McTominay","SCO","MF","Manchester Utd","0.2","14","1","3","8","3","1","1","0","1","10","68","44","0","0","0","1","1","9","2"
"Ben Mee","ENG","DF","Brentford","2.0","138","18","66","62","11","3","0","0","0","78","404","274","3","1","1","0","0","86","2"
"Jayden Meghoma","ENG","DF","Brentford","0.1","3","1","2","0","1","0","0","0","0","1","1","0","0","0","0","0","0","2","0"
"Mikel Merino","ESP","MF,FW","Arsenal","17.6","783","37","140","330","323","79","23","9","10","388","1518","747","11","13","4","24","27","504","94"
"Shumaira Mheuka","ENG","MF","Chelsea","0.0","2","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","2","0"
"Nikola Milenković","SRB","DF","Nott'ham Forest","37.0","1412","257","775","552","89","64","1","1","0","547","2345","1116","3","3","2","4","2","727","6"
"Lewis Miley","ENG","MF","Newcastle Utd","3.5","235","5","44","124","68","6","3","1","1","112","544","202","2","2","0","8","1","163","8"
"James Milner","ENG","MF","Brighton","1.9","93","3","13","49","31","4","1","1","0","47","223","97","1","1","0","0","0","59","10"
"Tyrone Mings","ENG","DF","Aston Villa","12.4","794","146","405","346","47","17","3","2","1","484","2662","1365","7","13","1","3","1","532","1"
"Yankuba Minteh","GAM","FW,MF","Brighton","20.4","836","30","135","228","491","146","98","46","43","481","3573","2105","90","24","67","53","28","511","201"
"Tyrick Mitchell","ENG","DF","Crystal Palace","34.4","1754","114","622","671","475","43","38","16","17","820","3825","1771","63","36","9","38","30","902","171"
"Kaoru Mitoma","JPN","FW,MF","Brighton","28.9","1375","17","155","468","782","164","131","52","74","830","6659","3906","146","82","56","53","23","966","291"
"Jakub Moder","POL","MF","Brighton","0.1","27","2","7","12","9","1","0","0","0","13","93","62","2","3","0","0","0","14","0"
"Jeremy Monga",NA,"FW,MF","Leicester City","1.2","51","1","9","16","27","5","7","2","3","37","336","157","6","2","3","5","2","32","10"
"Mikey Moore","ENG","FW","Tottenham","4.1","142","4","17","43","83","13","17","2","13","106","781","374","12","6","5","10","7","107","40"
"Morato","BRA","DF","Nott'ham Forest","10.1","457","90","270","170","19","2","2","2","0","164","789","417","1","2","0","6","3","206","1"
"Álex Moreno","ESP","DF,MF","Nott'ham Forest","10.6","559","60","210","202","158","8","21","8","8","229","1470","864","26","16","4","13","6","258","34"
"Sam Morsy","EGY","MF","Ipswich Town","30.6","1683","97","498","953","248","6","29","17","9","852","4649","2101","22","24","3","17","13","1137","13"
"Yerson Mosquera","COL","DF","Wolves","4.9","294","43","170","115","12","7","0","0","0","168","683","322","0","1","0","4","1","182","0"
"Mason Mount","ENG","MF","Manchester Utd","6.9","339","11","45","161","137","31","10","1","8","215","1067","490","15","11","2","16","9","249","41"
"Divin Mubama","ENG","FW","Manchester City","0.3","5","0","0","2","3","1","0","0","0","2","14","0","0","0","0","0","1","3","0"
"Mykhailo Mudryk","UKR","FW","Chelsea","1.7","62","3","12","15","38","6","8","3","5","39","468","227","7","8","0","3","7","42","12"
"Marshall Munetsi","ZIM","MF,FW","Wolves","12.0","364","21","58","182","128","36","11","3","7","148","580","215","9","4","4","32","12","182","35"
"Rodrigo Muniz","BRA","FW","Fulham","10.7","311","14","27","161","127","55","18","6","9","157","651","187","6","4","3","47","24","237","31"
"Daniel Muñoz","COL","DF","Crystal Palace","35.9","2010","119","568","826","637","107","56","21","33","806","4046","1797","62","40","18","55","20","956","206"
"Arijanet Muric","KVX","GK","Ipswich Town","18.0","689","559","672","18","0","0","0","0","0","405","2088","1178","0","0","0","3","1","321","0"
"Murillo","BRA","DF","Nott'ham Forest","35.4","1918","421","989","840","105","24","37","27","10","821","4254","2531","22","25","1","19","10","989","5"
"Jacob Murphy","ENG","FW","Newcastle Utd","26.2","1271","27","188","474","622","92","69","35","31","733","4416","2339","79","40","27","32","37","911","231"
"Vitaliy Mykolenko","UKR","DF","Everton","34.2","1678","125","525","713","452","32","20","8","9","697","2825","1506","33","28","1","23","11","860","99"
"Iliman Ndiaye","SEN","FW","Everton","27.0","1084","36","219","451","464","83","143","68","64","621","4800","2367","86","44","32","55","44","674","122"
"Wilfred Ndidi","NGA","MF","Leicester City","25.8","1400","119","461","699","253","61","33","13","18","670","2727","1101","18","23","2","37","33","834","75"
"Kosta Nedeljković","SRB","DF","Aston Villa","1.4","66","4","15","32","19","0","2","1","1","27","101","33","1","0","0","1","0","32","0"
"Reiss Nelson","ENG","FW","Arsenal","0.0","2","0","1","1","0","0","0","0","0","1","4","4","0","0","0","0","0","1","0"
"Reiss Nelson","ENG","FW","Fulham","5.4","347","5","30","110","212","35","35","13","13","259","1956","960","45","25","21","14","8","274","63"
"Neto","BRA","GK","Bournemouth","2.0","70","60","70","0","0","0","0","0","0","35","148","99","0","0","0","0","0","28","0"
"Pedro Neto","POR","FW","Chelsea","25.2","1153","13","100","336","735","116","104","34","46","746","6336","3342","126","57","45","45","30","838","253"
"Eddie Nketiah","ENG","FW,MF","Crystal Palace","11.5","412","11","47","176","198","67","31","11","16","246","1713","878","41","25","14","34","17","294","79"
"Christopher Nkunku","FRA","FW","Chelsea","10.2","448","10","52","183","217","52","27","10","14","280","1368","628","17","16","13","18","17","356","68"
"Gustavo Nunes","BRA","FW,MF","Brentford","0.1","7","1","4","1","2","1","0","0","0","1","16","11","1","0","1","1","0","1","0"
"Matheus Nunes","POR","DF,MF","Manchester City","18.6","1416","47","251","560","614","62","41","19","14","866","4503","2315","63","37","24","32","13","1013","175"
"Darwin Núñez","URU","FW","Liverpool","12.6","366","10","45","122","210","74","23","8","14","201","1063","568","23","19","12","24","21","248","78"
"Ethan Nwaneri","ENG","FW,MF","Arsenal","9.9","544","3","44","167","339","44","62","37","19","365","2852","1329","46","25","17","23","17","398","113"
"Christian Nørgaard","DEN","MF","Brentford","31.3","1802","176","613","855","350","57","14","7","5","826","3115","1391","14","16","4","34","20","1075","42"
"Jake O'Brien","IRL","DF","Everton","17.5","900","93","374","390","139","22","10","4","5","391","1801","906","7","6","2","5","5","481","25"
"Matt O'Riley","DEN","MF","Brighton","10.4","525","20","80","232","215","47","13","8","4","275","1139","544","22","12","8","19","4","307","52"
"Dara O'Shea","IRL","DF","Ipswich Town","34.7","2022","393","1169","730","129","51","2","1","1","897","4023","2069","3","2","0","12","4","1162","8"
"Chidozie Obi-Martin","DEN","FW","Manchester Utd","1.8","47","3","6","21","20","9","3","1","2","22","114","50","2","0","1","5","1","29","12"
"Wilson Odobert","FRA","FW,MF","Tottenham","9.4","381","7","46","142","197","35","32","12","17","265","1949","1146","45","25","18","21","17","273","66"
"Chiedozie Ogbene","IRL","FW","Ipswich Town","2.6","70","3","11","19","40","6","7","1","3","41","330","139","7","2","2","4","2","43","15"
"Caleb Okoli","ITA","DF","Leicester City","12.5","806","152","451","325","35","10","0","0","0","468","2318","1106","3","6","0","10","2","484","2"
"Robin Olsen","SWE","GK","Aston Villa","2.5","110","94","109","1","0","0","0","0","0","50","270","132","0","0","0","0","0","46","0"
"Amadou Onana","BEL","MF","Aston Villa","18.0","998","71","269","586","159","23","20","14","3","553","2931","1577","29","25","1","11","9","671","16"
"André Onana","CMR","GK","Manchester Utd","34.0","1371","1046","1350","22","0","0","1","1","0","961","4851","2676","0","0","0","1","0","832","0"
"Paul Onuachu","NGA","FW","Southampton","11.7","440","17","45","235","163","67","26","8","14","214","857","248","7","5","2","50","36","358","40"
"Frank Onyeka","NGA","MF","Brentford","0.3","10","0","1","5","4","0","0","0","0","6","55","14","0","0","0","2","1","6","0"
"Lewis Orford","ENG","MF","West Ham","0.5","42","1","8","28","7","2","0","0","0","22","98","27","0","0","0","1","0","31","1"
"Stefan Ortega","GER","GK","Manchester City","12.2","492","383","489","3","0","0","0","0","0","323","1489","864","0","0","0","0","0","309","0"
"William Osula","DEN","FW","Newcastle Utd","1.5","56","1","4","21","32","8","6","3","3","37","252","126","5","1","2","7","6","42","17"
"Dango Ouattara","BFA","FW","Bournemouth","22.3","959","62","165","316","497","128","82","39","34","492","3577","1777","79","35","38","63","32","577","191"
"Nico O’Reilly","ENG","DF","Manchester City","5.9","419","14","71","223","130","18","15","9","6","249","1171","575","16","15","0","14","15","298","26"
"Alex Palmer","ENG","GK","Ipswich Town","13.0","470","396","461","10","0","0","0","0","0","210","1205","750","0","0","0","2","0","170","0"
"Cole Palmer","ENG","MF,FW","Chelsea","35.5","1851","23","150","824","901","144","113","51","46","1173","7917","3804","120","76","41","71","37","1366","187"
"Emerson Palmieri","ITA","DF","West Ham","23.5","1325","82","422","559","359","28","30","10","17","555","3013","1737","47","25","9","24","7","747","83"
"Lucas Paquetá","BRA","MF,FW","West Ham","26.4","1796","62","367","989","454","59","47","21","21","921","3358","1416","26","34","2","54","51","1268","85"
"Thomas Partey","GHA","MF,DF","Arsenal","31.1","2193","74","457","1214","534","33","35","24","9","1256","6822","3691","36","42","3","24","17","1561","48"
"Nathan Patterson","SCO","DF","Everton","3.9","215","11","52","90","75","5","12","9","2","95","420","216","6","5","2","4","2","117","18"
"Andreas Pereira","BRA","MF","Fulham","22.4","1148","22","169","466","531","46","30","14","8","578","2764","1341","29","38","9","29","22","676","81"
"Ricardo Pereira","POR","DF","Leicester City","4.3","296","17","90","166","41","5","9","6","2","151","453","186","3","3","2","3","1","172","5"
"Kalvin Phillips","ENG","MF","Ipswich Town","13.7","739","61","223","398","122","5","12","5","6","310","1489","569","4","5","0","25","10","394","4"
"Jaden Philogene Bidace","ENG","FW,MF","Aston Villa","3.7","145","4","27","54","66","14","15","4","8","75","520","239","7","5","7","7","3","83","17"
"Jaden Philogene Bidace","ENG","FW,DF","Ipswich Town","5.3","220","10","53","68","101","18","18","5","11","127","862","305","13","3","5","11","10","133","36"
"Jordan Pickford","ENG","GK","Everton","38.0","1708","1116","1640","69","0","0","0","0","0","989","5989","3568","0","0","0","2","0","871","0"
"Ethan Pinnock","JAM","DF","Brentford","21.3","1348","294","783","457","109","24","9","3","6","633","3117","1633","3","4","0","2","4","760","9"
"Daniel Podence","POR","MF,FW","Wolves","0.5","20","0","2","11","7","0","2","2","0","13","77","43","1","1","0","0","0","17","3"
"Alfie Pond","ENG","DF","Wolves","0.0","1","0","0","1","0","0","0","0","0","1","2","2","0","0","0","0","0","1","0"
"Nick Pope","ENG","GK","Newcastle Utd","28.0","872","688","857","15","0","0","0","0","0","439","2510","1708","0","0","0","0","1","305","0"
"Pedro Porro","ESP","DF","Tottenham","29.0","2237","128","675","812","763","32","40","14","24","1187","5444","2841","65","43","5","25","18","1291","109"
"Jarell Quansah","ENG","DF","Liverpool","5.5","464","80","245","189","30","6","3","1","2","268","1421","709","3","4","1","5","2","321","4"
"Hákon Rafn Valdimarsson","ISL","GK","Brentford","1.6","72","60","71","1","0","0","0","0","0","44","191","80","0","0","0","0","0","36","0"
"Aaron Ramsdale","ENG","GK","Southampton","30.0","1314","946","1286","32","0","0","0","0","0","786","4017","2349","0","0","0","3","0","702","0"
"Jacob Ramsey","ENG","FW,MF","Aston Villa","18.0","762","12","146","272","359","74","46","25","13","496","3441","1766","61","31","21","42","23","577","114"
"Marcus Rashford","ENG","FW,MF","Manchester Utd","10.9","440","3","35","189","222","34","39","9","26","293","1694","728","20","19","12","14","6","341","79"
"Marcus Rashford","ENG","FW","Aston Villa","4.9","227","2","14","58","159","30","22","9","13","127","892","471","22","10","15","8","1","149","42"
"David Raya","ESP","GK","Arsenal","38.0","1480","880","1388","92","0","0","1","1","0","921","4542","2729","0","0","0","1","0","841","0"
"Harrison Reed","ENG","MF","Fulham","1.2","78","2","11","28","40","5","2","0","1","31","95","27","1","1","0","2","2","38","7"
"Remy Rees-Dottin","ENG","FW","Bournemouth","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sergio Reguilón","ESP","DF","Tottenham","2.2","167","9","57","73","38","3","6","2","1","88","383","233","5","2","1","2","1","97","12"
"Vitor Reis","BRA","DF","Manchester City","0.0","3","1","2","1","0","0","1","1","0","2","3","0","0","0","0","0","0","2","0"
"Chadi Riad","MAR","DF","Crystal Palace","1.0","90","5","41","49","1","0","0","0","0","58","318","232","2","0","0","1","0","69","0"
"Declan Rice","ENG","MF","Arsenal","31.4","1948","82","325","909","733","81","29","14","14","1031","6464","3394","90","58","16","36","32","1266","94"
"Chris Richards","USA","DF","Crystal Palace","21.4","1118","134","611","439","74","19","6","1","5","517","2316","964","6","5","0","5","5","614","2"
"Richarlison","BRA","FW","Tottenham","5.6","173","8","21","89","64","29","16","1","14","89","424","168","8","8","3","9","8","120","22"
"Andrew Robertson","SCO","DF","Liverpool","27.6","2084","92","539","940","620","53","18","7","10","1107","4941","2848","64","52","6","25","13","1399","108"
"Antonee Robinson","USA","DF","Fulham","35.2","2523","139","828","942","788","70","83","38","34","1343","7361","4230","118","61","30","44","20","1509","274"
"Jay Robinson","ENG","MF,FW","Southampton","1.5","54","4","15","18","22","5","11","6","5","33","188","92","3","2","1","1","6","29","10"
"Rodri","ESP","MF","Manchester City","0.8","74","1","14","37","24","0","1","0","0","39","172","82","1","2","0","0","0","56","1"
"Guido Rodríguez","ARG","MF","West Ham","12.8","709","54","223","423","64","5","6","3","1","327","1167","481","4","5","2","4","7","408","7"
"Mads Roerslev","DEN","DF","Brentford","12.2","645","49","234","268","146","20","19","7","8","352","1630","858","17","13","0","9","6","406","54"
"Morgan Rogers","ENG","FW,MF","Aston Villa","34.6","1362","43","200","592","597","142","160","66","74","794","5594","3232","114","68","33","114","74","956","188"
"Cristian Romero","ARG","DF","Tottenham","15.7","1377","157","594","720","74","23","4","1","2","896","4702","2893","12","18","0","10","5","936","3"
"Georginio Rutter","FRA","MF,FW","Brighton","18.4","641","20","83","246","326","79","71","27","34","361","2467","1405","42","36","16","45","37","411","79"
"José Sá","POR","GK","Wolves","29.0","985","785","976","10","0","0","8","8","0","630","3790","2483","0","0","0","1","0","485","0"
"Bukayo Saka","ENG","FW,MF","Arsenal","19.2","979","6","57","216","715","162","90","41","37","628","4253","2460","96","32","51","34","40","711","255"
"Mohamed Salah","EGY","FW","Liverpool","37.5","1695","11","97","500","1119","356","137","58","72","1149","6973","3695","154","59","126","116","67","1407","488"
"William Saliba","FRA","DF","Arsenal","33.8","2824","190","1127","1571","142","18","19","12","6","1756","7626","4154","16","17","1","19","8","2137","6"
"Robert Sánchez","ESP","GK","Chelsea","32.0","1323","980","1311","12","0","0","0","0","0","881","4456","2852","0","0","0","0","0","822","0"
"Jadon Sancho","ENG","FW","Chelsea","19.6","975","13","117","283","585","121","97","45","40","653","4450","2435","102","35","57","30","21","760","225"
"Ibrahim Sangaré","CIV","MF","Nott'ham Forest","6.6","407","26","110","247","52","7","1","0","1","171","759","283","1","2","0","5","4","236","4"
"Pablo Sarabia","ESP","MF,FW","Wolves","9.0","552","4","58","271","226","24","15","6","7","325","1497","731","15","15","0","22","14","387","62"
"Jeremy Sarmiento","ECU","MF","Brighton","0.1","8","0","0","6","2","0","0","0","0","6","61","10","0","0","0","1","0","7","2"
"Ismaila Sarr","SEN","MF","Crystal Palace","30.1","1091","48","180","411","511","135","61","17","35","607","3721","2108","75","47","28","70","43","739","183"
"Sávio","BRA","FW,MF","Manchester City","19.6","1095","14","55","286","774","154","113","52","40","783","6489","3559","137","45","75","42","38","852","246"
"Oliver Scarles","ENG","DF,FW","West Ham","7.4","466","32","159","179","133","9","7","2","5","219","871","483","12","9","2","12","3","272","44"
"Dane Scarlett","ENG","FW,MF","Tottenham","0.4","9","1","3","5","1","1","0","0","0","5","66","33","1","0","0","0","1","4","1"
"Kevin Schade","GER","FW","Brentford","25.5","883","43","154","238","507","146","89","30","52","434","3086","1357","61","28","38","60","36","543","165"
"Fabian Schär","SUI","DF","Newcastle Utd","32.6","2319","266","1178","991","162","42","13","8","3","1438","6526","3744","18","27","2","12","6","1609","22"
"Jeffrey Schlupp","GHA","MF,DF","Crystal Palace","1.1","79","2","9","31","41","6","1","1","0","30","150","67","4","1","1","7","0","41","9"
"Alex Scott","ENG","MF","Bournemouth","8.4","485","24","90","257","144","18","26","6","13","247","1401","663","15","10","3","23","8","294","33"
"Matz Sels","BEL","GK","Nott'ham Forest","38.0","1102","833","1082","20","0","0","0","0","0","528","3230","1697","1","1","1","0","0","426","0"
"Nélson Semedo","POR","DF","Wolves","32.1","1717","123","483","788","467","27","71","32","31","901","5223","2688","67","41","10","42","21","995","119"
"Antoine Semenyo","GHA","FW","Bournemouth","35.6","1653","46","206","573","909","191","135","69","57","979","7353","3581","140","69","67","84","77","1140","282"
"Marcos Senesi","ARG","DF","Bournemouth","12.3","889","73","391","427","82","16","10","6","4","554","2862","1677","12","16","0","7","6","565","7"
"Ryan Sessegnon","ENG","FW,DF","Fulham","6.4","363","15","88","131","149","45","21","8","10","180","1054","549","18","14","10","19","8","210","59"
"Luke Shaw","ENG","DF","Manchester Utd","3.9","317","26","128","149","42","4","1","0","1","226","1102","548","7","8","0","2","0","248","7"
"Zain Silcott-Duberry","MSR","FW","Bournemouth","0.0","3","0","1","0","2","0","0","0","0","1","6","6","0","0","0","0","0","2","0"
"Bernardo Silva","POR","MF,FW","Manchester City","29.7","2054","50","355","843","876","141","61","28","26","1288","8110","4045","101","65","32","25","34","1518","200"
"Jota Silva","POR","FW,MF","Nott'ham Forest","9.5","357","19","83","104","181","46","34","10","15","175","1153","632","21","13","9","24","12","202","59"
"Eric da Silva Moreira","GER","MF,DF","Nott'ham Forest","0.3","13","3","7","4","2","0","1","0","1","4","26","11","1","0","0","1","0","3","1"
"Jahmai Simpson-Pusey","ENG","DF","Manchester City","1.1","123","9","61","59","3","1","1","0","0","79","376","190","1","0","0","1","0","101","0"
"Luis Sinisterra","COL","FW,MF","Bournemouth","2.6","155","7","18","41","96","23","20","8","10","95","744","393","19","6","10","6","3","102","38"
"Oliver Skipp","ENG","MF","Leicester City","12.5","612","29","141","383","92","9","12","7","5","347","1392","644","16","7","3","12","7","419","19"
"William Smallbone","IRL","MF","Southampton","7.7","431","17","83","213","139","17","6","4","2","193","787","397","5","9","1","12","6","262","25"
"Adam Smith","ENG","DF","Bournemouth","17.7","825","41","240","394","197","8","16","6","7","366","1552","711","15","18","1","13","7","403","34"
"Emile Smith Rowe","ENG","MF","Fulham","22.7","1223","20","166","591","476","60","35","16","16","779","3728","1932","53","40","12","36","18","940","127"
"Dominic Solanke","ENG","FW","Tottenham","24.5","655","33","74","299","288","112","51","17","31","385","2126","848","31","23","14","69","51","459","88"
"Carlos Soler","ESP","MF,FW","West Ham","15.7","794","27","180","409","210","26","18","8","9","367","1806","783","17","17","4","14","14","539","37"
"Julio Soler","ARG","DF,FW","Bournemouth","0.1","17","0","3","6","8","0","0","0","0","12","30","8","0","0","0","1","0","14","2"
"Ramón Sosa","PAR","FW,MF","Nott'ham Forest","3.3","154","6","36","48","77","15","13","8","5","75","601","333","12","7","5","6","5","81","17"
"Tomáš Souček","CZE","MF","West Ham","28.5","1280","128","355","626","303","102","12","6","6","506","1553","559","9","12","3","20","15","764","68"
"Boubakary Soumaré","FRA","MF","Leicester City","24.1","1441","73","386","903","166","18","45","27","14","847","3904","2011","34","19","4","24","22","1013","23"
"Djed Spence","ENG","DF","Tottenham","19.9","1428","81","500","641","309","25","76","38","31","794","4661","2481","59","44","7","28","33","872","70"
"Jay Stansfield","ENG","MF","Fulham","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Steele","ENG","GK","Brighton","2.0","114","107","114","0","0","0","0","0","0","91","361","151","0","0","0","0","0","83","0"
"Jack Stephens","ENG","DF","Southampton","15.4","1097","128","461","543","97","11","4","0","4","631","2996","1407","14","12","1","3","3","783","2"
"Raheem Sterling","ENG","FW,MF","Arsenal","5.5","274","2","10","58","209","38","30","10","10","201","1407","750","27","11","15","13","14","211","79"
"Ross Stewart","SCO","FW","Southampton","4.3","140","9","25","55","62","15","5","3","2","64","298","81","3","0","4","7","9","100","10"
"Jakub Stolarczyk","POL","GK","Leicester City","10.0","411","309","406","6","0","0","0","0","0","221","983","595","0","0","0","1","0","225","0"
"John Stones","ENG","DF,MF","Manchester City","6.1","442","40","142","234","68","4","2","2","0","292","2146","1183","10","14","0","2","0","333","2"
"Jørgen Strand Larsen","NOR","FW","Wolves","28.7","736","36","85","348","304","108","20","8","11","345","1194","464","17","14","9","90","34","534","112"
"Yukinari Sugawara","JPN","DF,MF","Southampton","17.3","1066","67","327","410","334","29","20","9","10","564","2569","1384","33","16","7","18","5","709","78"
"Kamaldeen Sulemana","GHA","FW,MF","Southampton","15.6","587","17","92","219","301","59","103","39","56","380","3283","1620","63","37","28","50","25","410","87"
"Crysencio Summerville","NED","FW,MF","West Ham","8.7","372","9","47","147","181","38","39","13","18","207","1463","762","29","15","13","20","16","259","71"
"Sammie Szmodics","IRL","FW,MF","Ipswich Town","11.0","318","17","80","125","119","33","12","4","6","179","1003","407","16","8","7","24","17","193","47"
"Dominik Szoboszlai","HUN","MF","Liverpool","27.7","1584","32","220","761","626","104","41","21","17","805","4223","2372","72","49","18","37","23","1073","127"
"Matt Targett","ENG","DF","Newcastle Utd","0.2","17","0","3","8","6","0","0","0","0","4","12","6","0","0","0","0","0","12","1"
"James Tarkowski","ENG","DF","Everton","32.5","1706","355","974","635","106","57","7","5","2","727","3610","1943","9","10","0","13","7","927","3"
"Marcus Tavernier","ENG","FW,MF","Bournemouth","21.5","1196","20","135","468","622","58","65","28","31","705","4335","2068","53","51","9","46","47","790","129"
"Charlie Taylor","ENG","DF","Southampton","4.0","279","35","121","120","39","2","2","2","0","116","500","187","3","3","0","1","1","172","7"
"Jack Taylor","IRL","MF","Ipswich Town","9.6","534","32","161","281","103","8","11","4","4","254","1506","791","11","10","1","10","6","345","23"
"Mathys Tel","FRA","FW","Tottenham","10.1","414","9","58","150","217","40","53","15","31","266","1578","805","28","23","11","28","15","279","72"
"Kenny Tete","NED","DF","Fulham","19.7","1205","79","402","484","329","37","20","9","6","611","2851","1336","34","21","7","17","10","695","54"
"Thiago","BRA","FW,MF","Brentford","1.9","83","7","15","34","36","4","5","3","2","45","159","53","3","3","1","6","2","51","8"
"Luke Thomas","ENG","DF","Leicester City","12.3","775","50","294","366","120","8","6","3","3","371","1457","585","5","8","2","12","4","431","16"
"Youri Tielemans","BEL","MF","Aston Villa","33.6","2385","103","479","1366","565","45","61","31","19","1288","5561","2551","39","26","9","31","29","1667","48"
"Kieran Tierney","SCO","DF,FW","Arsenal","2.9","199","8","36","72","91","6","4","2","1","108","447","253","8","6","1","3","0","143","29"
"Jurriën Timber","NED","DF","Arsenal","26.9","1661","51","304","859","505","66","53","24","24","890","3916","2076","57","27","11","33","24","1052","104"
"Jean-Clair Todibo","FRA","DF","West Ham","20.3","1297","165","716","543","47","11","16","9","7","760","3221","1602","9","5","0","14","11","890","5"
"Harry Toffolo","ENG","DF","Nott'ham Forest","1.5","88","9","32","22","34","2","0","0","0","17","57","23","0","0","0","0","0","30","4"
"Takehiro Tomiyasu","JPN","DF","Arsenal","0.1","7","1","4","1","2","1","0","0","0","1","7","5","0","0","0","0","0","2","0"
"Sandro Tonali","ITA","MF","Newcastle Utd","29.2","1818","64","406","991","450","45","37","20","14","979","5567","2334","37","40","6","30","23","1257","53"
"Pau Torres","ESP","DF","Aston Villa","22.4","1518","237","701","726","97","17","17","15","2","965","6359","4176","40","27","0","6","5","1090","8"
"Conor Townsend","ENG","DF","Ipswich Town","3.7","172","28","87","50","38","5","0","0","0","53","278","136","2","2","0","2","2","75","13"
"Adama Traoré","ESP","FW,MF","Fulham","19.7","801","4","83","285","455","91","97","48","36","538","4631","2486","100","45","33","37","25","607","161"
"Boubacar Traoré","MLI","MF","Wolves","0.0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mark Travers","IRL","GK","Bournemouth","5.0","162","144","159","3","0","0","0","0","0","85","426","188","0","0","0","0","0","68","0"
"Ryan Trevitt","ENG","MF","Brentford","0.0","7","1","2","4","1","0","0","0","0","4","7","2","0","0","0","0","0","4","1"
"Kieran Trippier","ENG","DF","Newcastle Utd","14.5","1388","50","375","616","406","13","8","4","4","609","2258","1224","26","14","4","11","8","847","58"
"Leandro Trossard","BEL","FW","Arsenal","28.3","1278","17","135","399","762","158","86","38","37","828","5024","2218","80","55","30","66","52","956","226"
"Kostas Tsimikas","GRE","DF","Liverpool","9.3","741","33","190","327","229","13","12","5","5","368","1567","790","17","8","2","6","4","472","43"
