"player","nation","pos","team","played_90s","touches","touches_def_pen","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen","take_ons_att","take_ons_succ","take_ons_tackled","carries","carry_dist","prog_carry_dist","prog_carries","carries_final_3rd","carries_att_pen","miscontrols","dispossessed","passes_rec","prog_passes_rec"
"Jonas Rouhi","SWE","DF","Juventus","2.3","192","4","63","97","33","2","5","2","3","84","414","158","1","2","0","5","5","118","7"
"Nicolò Rovella","ITA","MF","Lazio","30.2","2354","91","589","1458","335","16","25","18","6","1451","7910","3837","45","49","2","22","14","1749","42"
"Amir Rrahmani","KVX","DF","Napoli","37.8","3152","268","1355","1687","118","34","6","4","2","1859","8924","5052","30","19","0","9","6","2254","2"
"Tommaso Rubino","ITA","MF","Fiorentina","0.1","3","0","1","2","0","0","0","0","0","3","5","4","0","0","0","0","0","1","0"
"Matteo Ruggeri","ITA","DF","Atalanta","19.5","1479","50","384","634","471","13","11","6","4","785","3979","2046","60","34","0","13","4","973","104"
"Stefano Sabelli","ITA","DF","Genoa","22.9","1428","61","507","676","252","10","13","4","5","641","3036","1836","36","23","1","22","4","759","43"
"Alexis Saelemaekers","BEL","DF,FW","Roma","15.4","945","11","149","390","417","47","52","22","27","582","2954","1499","39","32","14","39","14","709","136"
"Alexis Saelemaekers","BEL","DF,FW","Milan","1.0","81","0","9","34","38","2","0","0","0","59","356","234","7","4","1","1","0","61","13"
"Richie Sagrado","BEL","DF","Venezia","1.6","46","4","16","20","11","0","0","0","0","21","93","55","0","0","0","3","0","24","5"
"Marco Sala","ITA","DF","Como","2.9","173","9","54","69","51","1","2","1","0","113","565","311","10","10","1","1","1","116","16"
"Marco Sala","ITA","DF","Lecce","0.8","52","0","11","25","16","0","0","0","0","32","211","137","5","0","0","0","0","37","9"
"Anass Salah-Eddine","NED","DF","Roma","1.7","117","3","25","45","49","4","3","0","3","61","431","283","8","5","2","2","1","86","15"
"Lazar Samardzic","SRB","MF","Atalanta","13.0","867","6","61","353","459","54","60","27","32","573","3612","1652","54","40","21","36","19","658","99"
"Junior Sambia","FRA","DF,FW","Empoli","4.3","244","5","25","126","95","8","19","7","8","105","512","232","5","6","1","8","6","113","20"
"Antonio Sanabria","PAR","FW","Torino","14.6","377","16","43","199","140","34","11","6","5","227","898","220","6","6","1","32","23","301","54"
"Alexis Sánchez","CHI","FW","Udinese","4.9","211","3","16","97","101","14","7","4","2","121","476","145","2","4","0","17","8","161","19"
"Nicola Sansone","ITA","MF,FW","Lecce","0.7","29","1","4","10","15","3","1","0","1","20","83","7","0","1","0","1","1","20","5"
"Amin Sarr","SWE","FW","Hellas Verona","21.2","681","21","54","302","328","58","33","14","18","345","1701","712","31","13","11","57","26","495","103"
"Razvan Sava","ROU","GK","Udinese","12.0","423","345","423","0","0","0","0","0","0","262","1182","698","0","0","0","1","0","236","0"
"Nicolò Savona","ITA","DF","Juventus","19.2","1227","60","438","597","199","15","11","6","5","778","3980","1691","35","26","0","9","4","869","44"
"Saba Sazonov","GEO","DF","Torino","0.0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Giorgio Scalvini","ITA","DF","Atalanta","3.0","228","11","87","116","29","4","7","5","2","158","685","380","5","1","0","2","0","171","7"
"Gianluca Scamacca","ITA","FW","Atalanta","0.1","2","0","0","1","1","1","0","0","0","2","1","0","0","0","0","0","0","2","0"
"Joël Schingtienne","BEL","DF","Venezia","12.5","611","48","270","288","60","4","9","5","4","299","1463","669","5","6","0","16","5","320","4"
"Simone Scuffet","ITA","GK","Cagliari","13.0","442","382","438","4","0","0","0","0","0","201","1040","641","0","0","0","0","0","178","0"
"Simone Scuffet","ITA","GK","Napoli","1.0","46","45","46","0","0","0","0","0","0","27","156","51","0","0","0","0","0","18","0"
"Jacopo Seghetti","ITA","GK","Empoli","1.0","24","17","24","0","0","0","0","0","0","12","53","44","0","0","0","0","0","9","0"
"Stefano Sensi","ITA","MF","Monza","3.0","329","6","75","201","57","1","7","5","1","245","1261","588","4","5","0","1","3","262","8"
"Suat Serdar","GER","MF","Hellas Verona","15.3","660","31","122","383","164","30","37","19","15","370","1701","750","18","20","3","24","15","395","35"
"Stephan El Shaarawy","ITA","DF,MF","Roma","12.2","635","14","91","254","305","45","38","17","14","381","2565","1222","42","37","12","22","10","429","77"
"Alen Sherri","ALB","GK","Cagliari","6.9","244","212","242","3","0","0","0","0","0","137","609","299","0","0","0","0","0","115","0"
"Eldor Shomurodov","UZB","FW,MF","Roma","12.2","446","5","33","182","236","52","28","8","19","246","1197","515","19","17","9","49","19","333","62"
"Benjamin Siegrist","SUI","GK","Genoa","1.7","79","74","79","0","0","0","0","0","0","56","314","162","0","0","0","0","0","37","0"
"Marco Silvestri","ITA","GK","Empoli","5.0","162","130","162","0","0","0","0","0","0","103","565","359","0","0","0","0","0","93","0"
"Giovanni Simeone","ARG","FW","Napoli","4.7","194","8","20","84","95","22","12","6","6","110","633","285","11","9","3","21","14","144","30"
"Łukasz Skorupski","POL","GK","Bologna","26.3","1155","870","1146","9","0","0","1","1","0","778","3571","1920","0","0","0","0","0","750","0"
"Ivan Smolčić","CRO","DF","Como","7.0","475","29","184","224","70","10","2","0","2","231","838","306","3","5","0","8","3","256","9"
"Simon Sohm","SUI","MF","Parma","33.2","1467","45","262","900","326","45","35","15","13","876","5074","2968","69","55","12","33","23","1042","67"
"Ola Solbakken","NOR","MF,FW","Empoli","8.4","263","7","32","139","98","15","15","7","8","150","1084","419","18","10","6","15","8","194","32"
"Oumar Solet","FRA","DF","Udinese","18.6","1325","175","609","632","101","15","31","25","5","806","4076","2186","20","14","2","17","11","874","6"
"Daniele Sommariva","ITA","GK","Genoa","0.3","18","15","18","0","0","0","0","0","0","6","28","24","0","0","0","0","0","5","0"
"Yann Sommer","SUI","GK","Inter","32.0","1388","1095","1383","6","0","0","0","0","0","925","4040","2214","0","0","0","0","0","955","0"
"Borna Sosa","CRO","DF","Torino","13.1","781","29","222","372","193","14","7","3","2","417","2251","866","13","15","1","9","1","454","49"
"Riccardo Sottil","ITA","FW,MF","Fiorentina","9.3","356","2","35","118","217","41","27","11","9","272","2907","1868","71","31","27","21","8","285","100"
"Riccardo Sottil","ITA","FW,MF","Milan","1.4","63","1","10","20","33","6","4","1","2","47","366","214","11","5","3","3","1","45","14"
"Matìas Soulé","ARG","MF,DF","Roma","19.8","1271","24","137","472","673","73","108","35","54","794","4724","2444","84","56","32","56","32","915","191"
"Leonardo Spinazzola","ITA","DF,FW","Napoli","16.9","1051","38","244","472","344","38","64","28","29","603","4478","2504","83","64","24","17","18","679","81"
"Marco Sportiello","ITA","GK","Milan","1.4","63","42","62","1","0","0","0","0","0","37","180","117","0","0","0","0","0","31","0"
"Filip Stankovic","SRB","GK","Venezia","15.2","566","486","561","5","0","0","0","0","0","341","1802","1156","0","0","0","0","0","304","0"
"Petar Stojanović","SVN","MF","Empoli","0.0","3","1","2","1","0","0","0","0","0","2","5","1","0","0","0","0","0","1","0"
"Gabriel Strefezza","BRA","FW,MF","Como","29.1","1483","27","197","595","704","93","82","36","33","1033","5397","2707","80","42","33","49","53","1110","190"
"Ibrahim Sulemana","GHA","MF","Atalanta","3.1","209","5","43","137","30","1","4","1","1","135","830","421","2","6","0","7","3","155","2"
"Tomáš Suslov","SVK","MF,FW","Hellas Verona","23.1","811","18","137","393","306","28","77","36","30","462","3196","1314","39","28","10","54","34","466","77"
"Zion Suzuki","JPN","GK","Parma","36.8","1605","1295","1594","12","0","0","0","0","0","953","4946","3187","0","0","0","1","0","748","0"
"Marin Šverko","CRO","DF","Venezia","12.4","711","95","339","331","49","3","10","6","2","356","1645","958","8","3","0","8","4","388","1"
"Mile Svilar","SRB","GK","Roma","38.0","1531","1226","1522","8","1","1","0","0","0","944","4802","2705","0","0","0","0","1","874","0"
"Michael Svoboda","AUT","DF","Venezia","14.6","984","147","476","454","59","15","3","2","1","509","3214","1984","13","15","2","12","11","563","5"
"Adrien Tameze","CMR","MF,DF","Torino","7.2","368","15","89","180","99","13","15","4","8","214","1291","611","16","9","0","10","3","257","21"
"Mehdi Taremi","IRN","FW","Inter","9.0","318","11","36","140","148","45","11","6","3","186","920","363","10","9","6","14","5","230","47"
"Nuno Tavares","POR","DF","Lazio","18.7","1302","61","349","548","435","39","105","49","43","736","5619","3359","98","67","20","45","32","811","100"
"Loum Tchaouna","FRA","FW,MF","Lazio","7.3","341","14","35","133","174","33","10","5","5","188","1050","516","22","8","8","26","6","246","66"
"Jackson Tchatchoua","CMR","DF,MF","Hellas Verona","35.2","1403","83","370","559","494","35","40","21","16","685","4475","2400","88","59","18","50","15","748","163"
