"player","nation","pos","team","played_90s","shot_create_action","sca_live","sca_dead","sca_take_on","sca_shot","sca_foul","sca_defense","goal_create_action","gca_live","gca_dead","gca_take_on","gca_shot","gca_foul","gca_defense"
"Will Alves","ENG","FW","Leicester City","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry Amass","ENG","DF","Manchester Utd","3.8","8","7","0","0","1","0","0","0","0","0","0","0","0","0"
"Samuel Amo-Ameyaw","ENG","FW,DF","Southampton","0.3","2","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Mathis Amougou","FRA","MF","Chelsea","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joachim Andersen","DEN","DF","Crystal Palace","1.0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Joachim Andersen","DEN","DF","Fulham","28.7","35","27","1","0","7","0","0","2","1","1","0","0","0","0"
"Elliot Anderson","ENG","MF","Nott'ham Forest","30.3","87","43","20","7","8","4","5","10","4","3","0","1","1","1"
"André","BRA","MF","Wolves","27.5","49","41","3","1","0","0","4","3","2","1","0","0","0","0"
"Michail Antonio","JAM","FW","West Ham","9.3","22","14","0","1","5","1","1","4","0","0","0","4","0","0"
"Antony","BRA","DF,MF","Manchester Utd","1.6","8","6","0","1","0","1","0","0","0","0","0","0","0","0"
"Julian Araujo","MEX","DF","Bournemouth","5.5","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Archer","ENG","FW","Southampton","16.0","20","10","0","4","5","1","0","0","0","0","0","0","0","0"
"Alphonse Areola","FRA","GK","West Ham","25.1","3","2","1","0","0","0","0","0","0","0","0","0","0","0"
"Joe Aribo","NGA","MF,DF","Southampton","22.4","37","32","0","2","1","2","0","1","1","0","0","0","0","0"
"Adam Armstrong","ENG","FW,MF","Southampton","13.9","19","12","1","2","4","0","0","4","1","0","0","3","0","0"
"Harrison Armstrong","ENG","MF","Everton","0.5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Kepa Arrizabalaga","ESP","GK","Bournemouth","31.0","4","2","2","0","0","0","0","0","0","0","0","0","0","0"
"Marco Asensio","ESP","MF","Aston Villa","8.3","35","22","7","1","1","3","1","3","2","0","0","1","0","0"
"Brandon Austin","ENG","GK","Tottenham","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taiwo Awoniyi","NGA","FW","Nott'ham Forest","4.6","9","5","0","1","2","1","0","1","0","0","0","1","0","0"
"Yasin Ayari","SWE","MF","Brighton","21.8","61","36","13","3","3","4","2","6","4","2","0","0","0","0"
"Jordan Ayew","GHA","FW,MF","Crystal Palace","0.2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Ayew","GHA","FW,MF","Leicester City","18.2","41","24","8","3","4","1","1","2","1","0","0","1","0","0"
"Benoît Badiashile","FRA","DF","Chelsea","3.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leon Bailey","JAM","FW,MF","Aston Villa","12.7","38","23","1","8","3","3","0","4","4","0","0","0","0","0"
"Carlos Baleba","CMR","MF","Brighton","29.6","66","55","0","2","5","1","3","4","2","0","0","0","1","1"
"Ross Barkley","ENG","MF","Aston Villa","6.5","18","15","1","2","0","0","0","3","3","0","0","0","0","0"
"Harvey Barnes","ENG","FW","Newcastle Utd","19.5","64","44","1","7","6","6","0","9","6","0","1","1","1","0"
"Calvin Bassey","NGA","DF","Fulham","34.2","23","19","1","2","0","0","1","3","2","0","0","0","0","1"
"Altay Bayındır","TUR","GK","Manchester Utd","4.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan Bednarek","POL","DF","Southampton","28.1","16","15","0","0","1","0","0","0","0","0","0","0","0","0"
"Armel Bella Kotchap","GER","DF","Southampton","3.7","2","1","0","0","0","0","1","0","0","0","0","0","0","0"
"Jean-Ricner Bellegarde","FRA","MF,FW","Wolves","18.6","57","35","5","4","4","7","2","11","8","1","0","0","1","1"
"Rodrigo Bentancur","URU","MF","Tottenham","18.3","45","36","0","1","5","1","2","3","3","0","0","0","0","0"
"Daniel Bentley","ENG","GK","Wolves","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sander Berge","NOR","MF","Fulham","24.7","48","43","1","1","1","0","2","2","2","0","0","0","0","0"
"Lucas Bergvall","SWE","MF","Tottenham","13.5","22","16","4","0","2","0","0","4","3","0","0","1","0","0"
"Victor Bernth Kristiansen","DEN","DF","Leicester City","27.6","42","33","6","1","0","2","0","3","3","0","0","0","0","0"
"Beto","GNB","FW","Everton","17.0","26","16","0","3","3","4","0","1","1","0","0","0","0","0"
"Philip Billing","DEN","MF","Bournemouth","2.0","16","13","0","0","1","0","2","0","0","0","0","0","0","0"
"Yves Bissouma","MLI","MF","Tottenham","15.6","16","15","0","0","0","0","1","0","0","0","0","0","0","0"
"Oscar Bobb","NOR","FW","Manchester City","0.2","2","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Lamare Bogarde","NED","DF,MF","Aston Villa","5.3","10","8","1","0","0","0","1","1","1","0","0","0","0","0"
"Willy Boly","CIV","DF","Nott'ham Forest","1.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sven Botman","NED","DF","Newcastle Utd","4.6","4","1","0","0","3","0","0","0","0","0","0","0","0","0"
"Jarrod Bowen","ENG","FW,MF","West Ham","33.0","113","70","13","6","13","9","2","15","11","2","1","1","0","0"
"Conor Bradley","NIR","DF","Liverpool","8.4","19","13","0","5","0","1","0","4","3","0","1","0","0","0"
"Jarrad Branthwaite","ENG","DF","Everton","27.9","13","11","1","0","0","1","0","2","1","1","0","0","0","0"
"James Bree","ENG","DF","Southampton","11.9","16","13","2","0","1","0","0","1","1","0","0","0","0","0"
"Ben Brereton","CHI","FW","Southampton","5.0","9","7","0","0","0","2","0","0","0","0","0","0","0","0"
"Nathan Broadhead","WAL","MF,FW","Ipswich Town","7.8","22","15","0","6","1","0","0","2","1","0","1","0","0","0"
"Armando Broja","ALB","FW","Everton","3.7","7","7","0","0","0","0","0","0","0","0","0","0","0","0"
"David Brooks","WAL","FW,MF","Bournemouth","10.7","46","36","6","2","2","0","0","2","1","0","0","1","0","0"
"Emi Buendía","ARG","MF,FW","Aston Villa","1.1","3","2","0","0","1","0","0","0","0","0","0","0","0","0"
"Santiago Bueno","URU","DF","Wolves","18.7","12","10","1","0","0","0","1","4","3","0","0","0","0","1"
"Facundo Buonanotte","ARG","FW,MF","Leicester City","16.9","51","27","11","9","1","3","0","5","1","2","2","0","0","0"
"Cameron Burgess","AUS","DF","Ipswich Town","17.1","14","14","0","0","0","0","0","3","3","0","0","0","0","0"
"Dan Burn","ENG","DF","Newcastle Utd","37.0","27","21","1","0","4","1","0","4","3","1","0","0","0","0"
"Wes Burns","WAL","FW,DF","Ipswich Town","10.3","16","12","0","1","1","2","0","1","1","0","0","0","0","0"
"Nathan Butler-Oyedeji","ENG","FW","Arsenal","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moisés Caicedo","ECU","MF,DF","Chelsea","37.2","98","86","0","2","0","3","7","9","6","0","0","0","2","1"
"Tom Cairney","SCO","MF","Fulham","7.0","33","28","2","0","2","1","0","3","3","0","0","0","0","0"
"Jens Cajuste","SWE","MF","Ipswich Town","21.8","36","28","2","4","0","1","1","2","1","0","1","0","0","0"
"Riccardo Calafiori","ITA","DF","Arsenal","10.9","13","11","0","1","1","0","0","2","2","0","0","0","0","0"
"Dominic Calvert-Lewin","ENG","FW","Everton","17.9","26","14","0","4","3","3","2","4","1","0","2","0","1","0"
"Diego Carlos","BRA","DF","Aston Villa","9.2","4","3","0","0","1","0","0","0","0","0","0","0","0","0"
"Fabio Carvalho","POR","FW,MF","Brentford","5.1","10","7","0","1","2","0","0","1","1","0","0","0","0","0"
"Casemiro","BRA","MF","Manchester Utd","16.6","53","49","1","0","3","0","0","4","4","0","0","0","0","0"
"Kaelan Casey","ENG","DF","West Ham","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matty Cash","POL","DF","Aston Villa","23.0","25","22","1","1","0","0","1","4","3","0","0","0","0","1"
"Eiran Cashin","IRL","DF","Brighton","0.2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Timothy Castagne","BEL","DF","Fulham","18.3","25","21","0","1","2","1","0","3","2","0","0","1","0","0"
"Trevoh Chalobah","ENG","DF","Crystal Palace","11.8","11","10","0","1","0","0","0","0","0","0","0","0","0","0"
"Trevoh Chalobah","ENG","DF","Chelsea","10.1","13","10","0","0","2","0","1","3","1","0","0","1","0","1"
"Conor Chaplin","ENG","MF,FW","Ipswich Town","9.5","22","19","3","0","0","0","0","1","1","0","0","0","0","0"
"Youssef Chermiti","POR","FW,MF","Everton","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federico Chiesa","ITA","FW","Liverpool","1.2","6","6","0","0","0","0","0","1","1","0","0","0","0","0"
"Ben Chilwell","ENG","DF","Crystal Palace","2.9","8","6","1","0","1","0","0","0","0","0","0","0","0","0"
"Chiquinho","POR","MF","Wolves","0.1","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Hamza Choudhury","BAN","MF,DF","Leicester City","1.5","3","2","0","1","0","0","0","0","0","0","0","0","0","0"
"Ryan Christie","SCO","MF","Bournemouth","23.5","85","72","7","0","3","2","1","9","8","1","0","0","0","0"
"Harry Clarke","ENG","DF","Ipswich Town","4.2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Clarke","ENG","FW,MF","Ipswich Town","13.1","50","42","2","3","0","0","3","5","4","1","0","0","0","0"
"Nathaniel Clyne","ENG","DF,MF","Crystal Palace","5.4","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Conor Coady","ENG","DF","Leicester City","19.0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Séamus Coleman","IRL","DF","Everton","2.4","2","1","0","1","0","0","0","1","1","0","0","0","0","0"
"Nathan Collins","IRL","DF","Brentford","38.0","30","22","2","1","3","2","0","8","4","1","0","1","2","0"
"Toby Collyer","ENG","MF","Manchester Utd","2.0","5","4","0","0","1","0","0","0","0","0","0","0","0","0"
"Levi Colwill","ENG","DF","Chelsea","35.0","38","34","2","0","1","0","1","3","2","0","0","0","0","1"
"Lewis Cook","ENG","MF,DF","Bournemouth","33.1","89","69","18","0","2","0","0","5","2","1","0","2","0","0"
"Maxwel Cornet","CIV","FW","Southampton","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vladimír Coufal","CZE","DF","West Ham","11.9","18","14","4","0","0","0","0","1","0","1","0","0","0","0"
"Woyo Coulibaly","MLI","DF","Leicester City","1.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Cresswell","ENG","DF","West Ham","9.2","15","7","8","0","0","0","0","0","0","0","0","0","0","0"
"Marc Cucurella","ESP","DF","Chelsea","33.2","51","44","4","0","2","1","0","5","4","1","0","0","0","0"
"Jorge Cuenca","ESP","DF","Fulham","3.9","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Matheus Cunha","BRA","MF,FW","Wolves","28.9","132","75","14","19","9","12","3","16","10","0","4","0","1","1"
"Patson Daka","ZAM","FW,MF","Leicester City","8.2","10","7","0","2","1","0","0","1","0","0","1","0","0","0"
"Diogo Dalot","POR","DF","Manchester Utd","31.3","74","57","5","7","4","0","1","5","3","0","1","1","0","0"
"Mikkel Damsgaard","DEN","MF,FW","Brentford","32.3","120","92","14","6","2","1","5","21","15","3","1","0","1","1"
"Danilo","BRA","MF,FW","Nott'ham Forest","3.1","7","7","0","0","0","0","0","2","2","0","0","0","0","0"
"Jayden Danns","ENG","MF","Liverpool","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Danso","AUT","DF","Tottenham","9.4","9","8","0","0","1","0","0","2","2","0","0","0","0","0"
"Ben Davies","WAL","DF","Tottenham","14.8","8","7","0","0","0","0","1","0","0","0","0","0","0","0"
"Leif Davis","ENG","DF","Ipswich Town","30.5","93","46","39","3","3","1","1","4","3","0","1","0","0","0"
"Craig Dawson","ENG","DF","Wolves","10.8","7","6","0","0","1","0","0","2","1","0","0","1","0","0"
"Kevin De Bruyne","BEL","MF,FW","Manchester City","18.9","113","73","26","3","6","3","2","11","9","1","0","1","0","0"
"Bobby De Cordova-Reid","JAM","FW","Leicester City","8.3","13","8","0","0","3","2","0","3","1","0","0","1","1","0"
"Liam Delap","ENG","FW","Ipswich Town","28.8","62","28","0","12","7","13","2","7","3","0","2","0","2","0"
"Sepp van den Berg","NED","DF","Brentford","28.7","22","19","0","0","2","1","0","2","1","0","0","0","1","0"
"Justin Devenny","NIR","MF","Crystal Palace","5.6","15","12","2","0","1","0","0","1","1","0","0","0","0","0"
"Kiernan Dewsbury-Hall","ENG","MF,FW","Chelsea","2.9","5","5","0","0","0","0","0","1","1","0","0","0","0","0"
"Amad Diallo","CIV","MF,FW","Manchester Utd","21.1","97","65","9","10","3","6","4","18","7","0","4","1","2","4"
"Rúben Dias","POR","DF","Manchester City","25.2","26","17","0","0","7","0","2","1","1","0","0","0","0","0"
"Luis Díaz","COL","FW","Liverpool","26.7","117","88","0","16","9","4","0","16","13","0","1","0","2","0"
"Tyler Dibling","ENG","FW,MF","Southampton","20.8","56","34","1","11","5","5","0","4","2","0","1","1","0","0"
"Lucas Digne","FRA","DF","Aston Villa","26.1","66","42","18","1","4","0","1","5","5","0","0","0","0","0"
"Issa Diop","FRA","DF","Fulham","14.9","6","5","0","0","1","0","0","0","0","0","0","0","0","0"
"Axel Disasi","FRA","DF","Aston Villa","5.4","9","7","0","1","0","0","1","0","0","0","0","0","0","0"
"Axel Disasi","FRA","DF","Chelsea","4.0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Roman Dixon","ENG","DF","Everton","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nasser Djiga","BFA","DF","Wolves","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Doherty","IRL","DF","Wolves","23.4","25","19","3","1","1","1","0","3","3","0","0","0","0","0"
"Jeremy Doku","BEL","FW,MF","Manchester City","16.8","79","60","1","13","1","3","1","14","11","0","3","0","0","0"
"Nicolás Domínguez","ARG","MF,FW","Nott'ham Forest","21.8","38","29","1","0","3","3","2","0","0","0","0","0","0","0"
"Patrick Dorgu","DEN","DF","Manchester Utd","9.4","24","21","0","0","0","2","1","1","0","0","0","0","1","0"
"Alfie Dorrington","ENG","DF","Tottenham","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abdoulaye Doucouré","MLI","MF","Everton","28.5","58","52","0","3","2","0","1","3","2","0","0","0","0","1"
"Cheick Doucouré","MLI","MF","Crystal Palace","5.0","9","5","0","0","2","1","1","3","1","0","0","1","1","0"
"Flynn Downes","ENG","MF","Southampton","23.9","31","27","2","0","1","0","1","2","1","1","0","0","0","0"
"Tommy Doyle","ENG","MF","Wolves","5.4","17","11","4","1","1","0","0","3","2","0","1","0","0","0"
"Radu Drăgușin","ROU","DF","Tottenham","13.9","8","8","0","0","0","0","0","1","1","0","0","0","0","0"
"Martin Dúbravka","SVK","GK","Newcastle Utd","10.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lewis Dunk","ENG","DF","Brighton","23.1","19","17","0","0","2","0","0","3","2","0","0","1","0","0"
"Jáder Durán","COL","FW","Aston Villa","7.1","18","9","0","0","4","3","2","1","0","0","0","0","0","1"
"Claudio Echeverri","ARG","FW","Manchester City","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ederson","BRA","GK","Manchester City","25.8","6","6","0","0","0","0","0","4","4","0","0","0","0","0"
"George Edmundson","ENG","DF","Ipswich Town","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Odsonne Édouard","FRA","MF,FW","Crystal Palace","1.3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Odsonne Édouard","FRA","FW","Leicester City","0.3","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Samuel Edozie","ENG","DF,FW","Southampton","0.7","4","3","0","0","0","1","0","0","0","0","0","0","0","0"
"Ronnie Edwards","ENG","DF","Southampton","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Elanga","SWE","FW,MF","Nott'ham Forest","27.8","102","56","23","5","7","11","0","18","10","4","1","0","3","0"
"Harvey Elliott","ENG","MF","Liverpool","4.1","21","17","3","1","0","0","0","3","3","0","0","0","0","0"
"Yunus Emre Konak","TUR","FW,MF","Brentford","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julio Enciso","PAR","MF,FW","Ipswich Town","9.7","29","16","4","6","2","0","1","4","2","1","1","0","0","0"
"Julio Enciso","PAR","MF,FW","Brighton","3.3","12","5","1","3","1","2","0","0","0","0","0","0","0","0"
"Wataru Endo","JPN","MF,DF","Liverpool","3.0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Eriksen","DEN","MF","Manchester Utd","11.8","56","38","15","0","3","0","0","7","5","2","0","0","0","0"
"Romain Esse","ENG","MF","Crystal Palace","1.5","8","6","0","1","0","1","0","3","1","0","1","0","1","0"
"Pervis Estupiñán","ECU","DF","Brighton","26.7","58","39","13","0","2","4","0","4","3","0","0","0","1","0"
"Evanilson","BRA","FW","Bournemouth","25.8","61","39","0","3","10","9","0","8","2","0","1","1","4","0"
"Jake Evans",NA,"FW","Leicester City","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonny Evans","NIR","DF","Manchester Utd","3.5","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Eberechi Eze","ENG","MF,FW","Crystal Palace","28.8","135","72","29","11","13","9","1","10","9","1","0","0","0","0"
"Łukasz Fabiański","POL","GK","West Ham","12.9","3","2","1","0","0","0","0","0","0","0","0","0","0","0"
"Wout Faes","BEL","DF","Leicester City","31.3","17","15","0","0","1","0","1","0","0","0","0","0","0","0"
"Abdul Fatawu Issahaku","GHA","FW","Leicester City","6.4","17","10","0","2","1","4","0","3","2","0","0","1","0","0"
"João Félix","POR","FW,MF","Chelsea","4.1","18","12","0","2","3","1","0","3","1","0","1","0","1","0"
"Evan Ferguson","IRL","FW","West Ham","1.7","4","2","0","1","1","0","0","0","0","0","0","0","0","0"
"Evan Ferguson","IRL","FW","Brighton","2.7","4","3","0","1","0","0","0","0","0","0","0","0","0","0"
"Bruno Fernandes","POR","MF","Manchester Utd","33.5","193","136","37","5","6","7","2","13","10","2","0","1","0","0"
"Mateus Fernandes","POR","MF","Southampton","32.3","78","44","14","6","6","6","2","7","4","2","0","0","0","1"
"Enzo Fernández","ARG","MF","Chelsea","32.7","147","116","16","2","4","4","5","16","13","2","0","1","0","0"
"Mark Flekken","NED","GK","Brentford","36.4","10","6","4","0","0","0","0","2","0","2","0","0","0","0"
"Phil Foden","ENG","MF,FW","Manchester City","19.7","88","58","18","3","6","3","0","9","5","1","0","3","0","0"
"Wesley Fofana","FRA","DF","Chelsea","13.0","15","12","1","1","1","0","0","0","0","0","0","0","0","0"
"Carlos Forbs","POR","MF,FW","Wolves","2.7","5","3","0","2","0","0","0","1","1","0","0","0","0","0"
"Fraser Forster","ENG","GK","Tottenham","7.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matheus França","BRA","MF,FW","Crystal Palace","0.6","3","2","0","0","1","0","0","0","0","0","0","0","0","0"
"Ryan Fraser","SCO","FW,DF","Southampton","3.4","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Fredricson","ENG","DF","Manchester Utd","1.8","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Niclas Füllkrug","GER","FW","West Ham","8.8","22","20","0","0","2","0","0","2","1","0","0","1","0","0"
"Cody Gakpo","NED","FW","Liverpool","21.5","80","57","0","9","7","5","2","8","3","0","3","1","1","0"
"Idrissa Gana Gueye","SEN","MF","Everton","34.0","60","52","0","1","2","3","2","4","4","0","0","0","0","0"
"Andrés García","ESP","DF,MF","Aston Villa","3.5","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Alejandro Garnacho","ARG","MF,FW","Manchester Utd","24.4","83","64","1","3","9","6","0","6","4","0","0","1","1","0"
"James Garner","ENG","MF,DF","Everton","17.7","39","27","11","0","0","0","1","5","4","1","0","0","0","0"
"Tyrique George","ENG","FW","Chelsea","2.0","7","6","0","1","0","0","0","1","1","0","0","0","0","0"
"Morgan Gibbs-White","ENG","MF","Nott'ham Forest","31.1","115","94","0","3","8","5","5","19","13","0","0","4","1","1"
"Billy Gilmour","SCO","MF","Brighton","1.1","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Godfrey","ENG","DF","Ipswich Town","1.8","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Martial Godo","ENG","FW,DF","Fulham","0.3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Golding","ENG","MF","Leicester City","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"João Gomes","BRA","MF","Wolves","33.0","67","53","1","5","2","2","4","4","4","0","0","0","0","0"
"Rodrigo Gomes","POR","DF,FW","Wolves","9.0","22","18","1","2","1","0","0","1","0","1","0","0","0","0"
"Toti Gomes","POR","DF","Wolves","29.0","21","20","0","0","1","0","0","1","1","0","0","0","0","0"
"Diego Gómez","PAR","MF","Brighton","5.7","19","14","3","0","1","1","0","4","2","1","0","0","1","0"
"Joe Gomez","ENG","DF","Liverpool","5.8","5","5","0","0","0","0","0","1","1","0","0","0","0","0"
"Nicolás González","ESP","MF","Manchester City","8.4","15","13","0","0","1","1","0","3","2","0","0","0","1","0"
"Anthony Gordon","ENG","FW,MF","Newcastle Utd","27.0","101","73","10","7","3","8","0","12","9","1","1","0","1","0"
"Ryan Gravenberch","NED","MF","Liverpool","35.1","68","60","0","5","2","0","1","6","6","0","0","0","0","0"
"Archie Gray","ENG","DF,MF","Tottenham","19.5","6","5","1","0","0","0","0","0","0","0","0","0","0","0"
"Jack Grealish","ENG","FW,MF","Manchester City","8.0","47","41","1","3","0","1","1","2","1","0","0","0","0","1"
"Jacob Greaves","ENG","DF","Ipswich Town","24.5","20","16","1","0","1","1","1","1","1","0","0","0","0","0"
"Brajan Gruda","GER","MF,FW","Brighton","7.6","39","29","6","3","0","1","0","6","4","2","0","0","0","0"
"Albert Grønbaek","DEN","FW,MF","Southampton","1.6","2","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Gonçalo Guedes","POR","MF,FW","Wolves","11.1","30","27","0","2","0","1","0","8","7","0","1","0","0","0"
"Marc Guéhi","ENG","DF","Crystal Palace","34.0","44","36","0","0","4","2","2","5","4","0","0","0","0","1"
"Luis Guilherme","BRA","MF,FW","West Ham","1.7","10","6","1","1","1","1","0","0","0","0","0","0","0","0"
"Bruno Guimarães","BRA","MF","Newcastle Utd","36.3","133","119","3","3","1","4","3","18","17","1","0","0","0","0"
"Marc Guiu","ESP","FW","Chelsea","0.8","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"İlkay Gündoğan","GER","MF","Manchester City","24.7","88","67","11","5","4","1","0","13","10","1","0","1","1","0"
"Malo Gusto","FRA","DF","Chelsea","20.7","58","57","0","0","1","0","0","4","4","0","0","0","0","0"
"Joško Gvardiol","CRO","DF","Manchester City","36.4","76","69","1","2","3","1","0","7","6","0","1","0","0","0"
"Erling Haaland","NOR","FW","Manchester City","30.4","71","51","0","8","10","2","0","9","6","0","2","1","0","0"
"Lewis Hall","ENG","DF","Newcastle Utd","24.3","63","44","18","0","0","1","0","6","5","1","0","0","0","0"
"Ali Al Hamadi","IRQ","FW","Ipswich Town","1.5","8","4","0","3","0","1","0","0","0","0","0","0","0","0"
"Marcus Harness","ENG","MF","Ipswich Town","0.5","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Harrison","ENG","FW","Everton","23.1","57","38","9","4","2","4","0","4","1","0","0","1","2","0"
"Taylor Harwood-Bellis","ENG","DF","Southampton","31.4","37","32","0","0","3","1","1","2","1","0","0","1","0","0"
"Kai Havertz","GER","FW,MF","Arsenal","20.8","42","35","0","1","6","0","0","3","2","0","0","1","0","0"
"Ayden Heaven","ENG","DF","Manchester Utd","1.9","4","0","0","1","2","1","0","0","0","0","0","0","0","0"
"Jan Paul van Hecke","NED","DF","Brighton","32.9","52","46","2","0","3","1","0","3","3","0","0","0","0","0"
"Hwang Hee-chan","KOR","MF,FW","Wolves","7.3","9","8","0","0","1","0","0","1","1","0","0","0","0","0"
"Dean Henderson","ENG","GK","Crystal Palace","38.0","4","3","1","0","0","0","0","0","0","0","0","0","0","0"
"Rico Henry","ENG","DF","Brentford","1.1","2","2","0","0","0","0","0","1","1","0","0","0","0","0"
"Mads Hermansen","DEN","GK","Leicester City","26.5","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Son Heung-min","KOR","FW","Tottenham","23.4","117","87","8","10","7","5","0","15","13","0","0","1","1","0"
"James Hill","ENG","DF","Bournemouth","5.0","8","5","2","0","0","0","1","1","1","0","0","0","0","0"
"Jack Hinshelwood","ENG","MF,DF","Brighton","20.5","35","28","4","0","2","1","0","3","3","0","0","0","0","0"
"George Hirst","SCO","FW","Ipswich Town","7.3","9","7","0","0","1","1","0","3","2","0","0","1","0","0"
"Mason Holgate","JAM","FW,DF","Everton","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
