"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Kobbie Mainoo","ENG","MF","Manchester Utd","18.3","0","15","2","13.3","0.82","0.11","0.00","0.00","20.5","0","0","0"
"Tyrell Malacia","NED","DF","Manchester Utd","1.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Donyell Malen","NED","FW","Aston Villa","3.4","3","15","9","60.0","4.43","2.66","0.20","0.33","15.2","0","0","0"
"Mateus Mane",NA,"MF","Wolves","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Orel Mangala","BEL","MF","Everton","14.0","1","16","6","37.5","1.14","0.43","0.06","0.17","22.1","0","0","0"
"Ryan Manning","IRL","DF,MF","Southampton","16.2","0","8","1","12.5","0.49","0.06","0.00","0.00","22.0","1","0","0"
"Solly March","ENG","FW,MF","Brighton","1.9","0","2","0","0.0","1.07","0.00","0.00","","22.5","0","0","0"
"Omar Marmoush","EGY","FW,MF","Manchester City","13.1","7","49","17","34.7","3.75","1.30","0.14","0.41","18.6","7","0","0"
"Gabriel Martinelli","BRA","FW,MF","Arsenal","25.4","8","55","24","43.6","2.16","0.94","0.15","0.33","12.9","0","0","0"
"Emiliano Martínez","ARG","GK","Aston Villa","35.5","0","0","0","","0.00","0.00","","","","0","0","0"
"Lisandro Martínez","ARG","DF","Manchester Utd","19.5","2","17","6","35.3","0.87","0.31","0.12","0.33","15.9","0","0","0"
"Pape Matar Sarr","SEN","MF","Tottenham","21.3","3","34","13","38.2","1.60","0.61","0.09","0.23","20.9","0","0","0"
"Jean-Philippe Mateta","FRA","FW","Crystal Palace","29.4","14","68","29","42.6","2.31","0.99","0.18","0.41","15.6","0","2","2"
"Stephy Mavididi","ENG","FW","Leicester City","17.9","4","26","7","26.9","1.45","0.39","0.15","0.57","16.1","1","0","0"
"Konstantinos Mavropanos","GRE","DF","West Ham","22.7","0","18","5","27.8","0.79","0.22","0.00","0.00","14.8","0","0","0"
"Noussair Mazraoui","MAR","DF","Manchester Utd","31.5","0","13","3","23.1","0.41","0.10","0.00","0.00","20.6","0","0","0"
"Bryan Mbeumo","CMR","FW","Brentford","37.9","20","79","34","43.0","2.08","0.90","0.19","0.44","17.9","6","5","6"
"James Mcatee","ENG","MF,FW","Manchester City","3.9","3","12","4","33.3","3.09","1.03","0.25","0.75","14.3","0","0","0"
